	Year	Month	n
0	2011	03	564
1	2011	04	188
2	2011	05	234
3	2011	06	180
4	2011	07	175
5	2011	08	320
6	2011	09	190
7	2011	10	135
8	2011	11	163
9	2011	12	154
10	2012	01	187
11	2012	02	189
12	2012	03	159
13	2012	04	145
14	2012	05	165
15	2012	06	133
16	2012	07	160
17	2012	08	185
18	2012	09	165
19	2012	10	178
20	2012	11	137
21	2012	12	154
22	2013	01	182
23	2013	02	156
24	2013	03	166
25	2013	04	174
26	2013	05	176
27	2013	06	187
28	2013	07	204
29	2013	08	195
30	2013	09	170
31	2013	10	151
32	2013	11	134
33	2013	12	178
34	2014	01	242
35	2014	02	221
36	2014	03	235
37	2014	04	233
38	2014	05	218
39	2014	06	222
40	2014	07	253
41	2014	08	210
42	2014	09	178
43	2014	10	205
44	2014	11	201
45	2014	12	191
46	2015	01	270
47	2015	02	203
48	2015	03	232
49	2015	04	243
50	2015	05	224
51	2015	06	228
52	2015	07	297
53	2015	08	259
54	2015	09	230
55	2015	10	215
56	2015	11	239
57	2015	12	228
58	2016	01	277
59	2016	02	248
60	2016	03	266
61	2016	04	266
62	2016	05	239
63	2016	06	260
64	2016	07	254
65	2016	08	250
66	2016	09	230
67	2016	10	192
68	2016	11	204
69	2016	12	242
70	2017	01	255
71	2017	02	245
72	2017	03	268
73	2017	04	244
74	2017	05	270
75	2017	06	219
76	2017	07	299
77	2017	08	231
78	2017	09	197
79	2017	10	197
80	2017	11	190
81	2017	12	180
82	2018	01	209
83	2018	02	233
84	2018	03	192
85	2018	04	286
86	2018	05	202
87	2018	06	163
88	2018	07	241
89	2018	08	201
90	2018	09	193
91	2018	10	192
92	2018	11	210
93	2018	12	10
