	Year	Month	n
0	2014	09	278
1	2014	10	1293
2	2014	11	666
3	2014	12	762
4	2015	01	643
5	2015	02	664
6	2015	03	934
7	2015	04	657
8	2015	05	655
9	2015	06	590
10	2015	07	568
11	2015	08	778
12	2015	09	814
13	2015	10	696
14	2015	11	622
15	2015	12	924
16	2016	01	828
17	2016	02	841
18	2016	03	886
19	2016	04	650
20	2016	05	715
21	2016	06	964
22	2016	07	1230
23	2016	08	1465
24	2016	09	1363
25	2016	10	1124
26	2016	11	1061
27	2016	12	1328
28	2017	01	1266
29	2017	02	1046
30	2017	03	1386
31	2017	04	1234
32	2017	05	1148
33	2017	06	1108
34	2017	07	1046
35	2017	08	1046
36	2017	09	1127
37	2017	10	1047
38	2017	11	878
39	2017	12	916
40	2018	01	992
41	2018	02	909
42	2018	03	981
43	2018	04	1030
44	2018	05	1057
45	2018	06	1243
46	2018	07	1057
47	2018	08	1206
48	2018	09	907
49	2018	10	1049
50	2018	11	983
51	2018	12	29
