	Title	ViewCount
0	What is the effect of masturbation on weightlifitng ability?	413093.0
1	How effective is Zumba in weight-loss and toning?	291594.0
2	My hip goes out of place within a matter of days after the Chiroproactor pops it back into place, is there any way I can pop it back myself?	289433.0
3	How much do empty barbells weigh?	202813.0
4	What is the proper procedure for showering in a gym locker room?	199298.0
5	Is it better to use whey protein pre or post workout?	195030.0
6	How long should I wait to exercise after eating?	179350.0
7	Sore after work out - can't straighten arm	165625.0
8	I am underweight. How do I gain weight and muscle?	141141.0
9	Effect of Sex/Male Orgasm on Athletic Performance	139206.0
10	Persistent mild knee pain due to squats - push through or stop?	136550.0
11	What does each weight plate weigh in standard gym equipment?	131816.0
12	Should I drink water before, during or after eating?	131374.0
13	How does bicycling compare to other exercises when it comes to fat loss?	130897.0
14	Is it healthy to exercise a muscle when it's still sore?	127971.0
15	How do I squat if I can't keep my heels on the floor?	125559.0
16	What can cause severe muscle fatigue and even pain at wake-up?	124471.0
17	My legs still ache 3-4 days after legs day	121557.0
18	If I wear my Fitbit One on a treadmill or elliptical, should I log the activity as well?	120378.0
19	Will wearing ankle weights all day long make any difference?	119276.0
20	Why does thick saliva form in your mouth after heavy exercise?	115800.0
21	How many Burpees do I have to do per day to lose a lot of fat fast?	115458.0
22	Tricks to lose weight in 48 hours	111301.0
23	Ensuring the body burns fat instead of muscle?	106300.0
24	How important is it that a person be able to touch their toes?	101860.0
25	How should I do push up to get better chest?	100967.0
26	How many sessions of planks should I do a day?	98952.0
27	Toenail partially kicked off and lifted up... what now? How do you clean lifted up toenail?	97785.0
28	How much protein should I eat on off-days?	97506.0
29	Protein: Mixing with hot liquids	95233.0
30	What's the difference between calories and kcal	94827.0
31	Are squats with dumbbells as effective as squats with barbells?	91566.0
32	Do protein shakes push you out of ketosis?	88922.0
33	How many calories to burn daily to see a change in weight within a month	88057.0
34	How to gain weight for a naturally thin person?	88047.0
35	Why are my ribs sore after doing push ups and sit ups?	85474.0
36	What's the most effective way to improve cardio endurance?	83489.0
37	Am I gaining fat or muscle - how can I tell?	82871.0
38	Knuckle vs. palm pushups	82389.0
39	If you consume a lot of protein but don't exercise does it go to waste?	82089.0
40	Cardio ideas for someone with Plantar fasciitis	81912.0
41	What is the best way to train at the gym for weight loss purposes?	81841.0
42	Will it change the nutritional value of a protein shake if I mix it hours before consumption?	81777.0
43	Why does standing for too long make knees sore?	81272.0
44	Want to lose weight from 90 kg to 75 kg	79225.0
45	What is the best Vibram Five Fingers shoes for running long distances?	78905.0
46	When is the best time of day to accurately weigh yourself?	78868.0
47	Is using compression clothing during a work out a good or bad idea?	78146.0
48	How does Voodoo Floss work?	75214.0
49	How can I gain a lot of weight in one month?	73314.0
50	When taking vitamins and supplements, does it matter if I take them all at once or should I spread it out throughout the day?	72784.0
51	The impact of Diet Cola on a low carb diet	72217.0
52	Milk+honey helps gain weight?	71419.0
53	How can I stop a burning sensation in the legs during/after walking?	71218.0
54	"How does the fitness flex define ""active time"""	69173.0
55	How long can I fast without losing muscles?	68704.0
56	Can someone who takes steroids get muscle mass even without lifting?	67794.0
57	What can I do to prevent my (outer) shins from tightening while running?	66079.0
58	How to avoid stomach cramps after running?	65036.0
59	Is it bad to sit down immediately after the exercise?	64528.0
60	What is difference between Yoga and Power Yoga?	63294.0
61	Why cant I do any situps without someone holding my feet	61019.0
62	How to get rid of nerve pinch in shoulder?	60049.0
63	Do Electric Muscle Stimulators really work for losing weight?	58477.0
64	is there any need to wear LANGOT(Loin Cloth) while doing gym workout	57692.0
65	How long does it take lungs to recover after quitting smoking	57193.0
66	Stronglifts - Why is my bench press/row progress lagging behind?	56639.0
67	What is the most effective way to improve a saggy belly?	55593.0
68	Is it possible to measure calorie burn from heart rate alone?	55588.0
69	How is water absorbed and expelled?	55439.0
70	Recovering from trochanteric (hip) bursitis	55154.0
71	Recurring muscle pull in Upper-back/Neck when doing overhead press/bench press - form advice	55133.0
72	If my lower back feels tired after squats, am I doing something wrong?	53652.0
73	Is it bad that my feet turn outward when I run?	53564.0
74	Why is muscle size not proportional to strength?	53206.0
75	Can anyone do the 180 degree split, if they really want to?	52803.0
76	Lots of phlegm while doing cardio workouts	52177.0
77	How can I increase bicep width?	51672.0
78	Is taking a nap before workout good idea?	51407.0
79	What are the best ways to deal with headphone cords while exercising?	51369.0
80	Is FitBit useful for weight lifting?	51210.0
81	How to get reduce the size of my nipples?	51120.0
82	why do my hands shake after a workout?	51090.0
83	I seem to lose muscle size quickly if not working out for some time. Why?	50909.0
84	Is it possible to learn to swimming without trainer, alone?	50708.0
85	What are the best vitamins to take when working out	50329.0
86	Will a boxing bag as my primary workout be okay for my cardio and weight loss?	48893.0
87	What muscles are deadlifts meant to target?	48845.0
88	How much do the plates in Crossfit weigh?	48804.0
89	Why do my legs hurt while jumping rope?	48734.0
90	Squat /Deadlift with torn ACL?	48474.0
91	Safe exercises after L5-S1 disc problem	48148.0
92	What to eat after a late night workout?	48052.0
93	In relation to Low-Carb diet, Why I feel hungry after I eat?	48030.0
94	Stronglifts 5x5: an effective program?	47674.0
95	Should I run everyday or alternate days and run longer?	47593.0
96	How does muscle size relate to strength?	47559.0
97	is it OK to drink glucose water during workout?	47521.0
98	Should we exercise when our blood pressure is high?	46933.0
99	Why does running make you have to poop?	45561.0
100	Should I run before or after the workout	45494.0
101	Toes Hurt and Go Numb While Running	45479.0
102	Cold and fever after doing extensive cardio sport?	45119.0
103	Do protein shakes really damage the kidneys?	44957.0
104	How do I avoid stench with my Vibram Five Fingers?	44774.0
105	Blurry vision after exercise?	44175.0
106	Is running while overweight bad for your knees?	44125.0
107	What is the best time of the day for High Intensity Interval Training (HIIT)?	43708.0
108	Why did my legs give way?	43707.0
109	Does chewing gum break intermittent fasting	43642.0
110	What happens when you tend to lay in bed all day?	43583.0
111	Realistic best time for 5k?	43493.0
112	BCAA together with whey protein	43067.0
113	How do I properly breathe while swimming freestyle?	41673.0
114	How to get rid of belly fat (six pack) without losing weight?	41503.0
115	Why does my collarbone hurt while jogging?	41308.0
116	Running shoes: are EVA soles that bad?	41136.0
117	Is it okay to do workouts immediately after doing yoga?	41038.0
118	Help understand chronic tightness behind knees	40596.0
119	Why do compound exercises build more mass than isolation exercises?	40567.0
120	Is it possible to self learn any hand combat skills or martial arts?	40105.0
121	Why do sprinters have muscular arms?	40021.0
122	Dumbbell Shoulder Press: Natural vs the usual grip	39067.0
123	Should I eat more calories when working out even though I'm trying to lose weight?	38869.0
124	Exercises for a programmer sitting by the PC all day	38793.0
125	Does boiling time change an egg's nutritional content?	38654.0
126	What is a good time to row 10,000m on a Concept C2 rowing machine?	38352.0
127	What is an ideal visceral fat percentage?	38054.0
128	What are the pros and cons of eating 1-3 grapefruits every day?	38030.0
129	Will wearing thick clothes during cardio provide better weight loss results?	37953.0
130	Is it bad for me to taking protein shakes without working out?	37754.0
131	Do NSAIDS (Ibuprofen, etc.) actually speed up healing or do they just mask pain?	37744.0
132	transitioning into and out of ketosis	37471.0
133	Max heart rate: is it bad to train in Zone 5 for 30 mins?	37454.0
134	How Can I Stop Swinging On Pull-Ups?	37075.0
135	How well do chest and back go together in the same workout?	36991.0
136	Is going to bed hungry going to help me trim fat?	36881.0
137	Is it bad to workout when you aren't sleeping a lot?	36856.0
138	Should I be worried that my pelvis pops during leg raises?	36737.0
139	Dull pain/soreness in upper back muscles behind right shoulder bone after pushups	35729.0
140	Is melted cheese less healthy than unmelted cheese?	35671.0
141	Are there any alternatives to deadlifts?	35476.0
142	Calves felt sore after long walk	35316.0
143	Does anyone know what causes muscles to shake uncontrollably while under stress?	35304.0
144	Uneven chest after pushups	34682.0
145	I have extremely bad posture, what can I do?	34087.0
146	Fitbit Flex accuracy in counting steps	33778.0
147	Losing weight with Stronglifts 5x5?	33546.0
148	How to lose manboobs?	33512.0
149	Strengthening and healing the psoas (leg-lifting) muscle	33397.0
150	How to lose weight if I have lower vertebrae problems?	33317.0
151	How much energy is required to burn 1kg of fat?	33267.0
152	What's lean muscle mass?	32991.0
153	Is it necessary to warm up before doing a modest number of push ups?	32644.0
154	Can you gain strength in your legs with bodyweight squats only?	32519.0
155	How and when to consume a protein shake properly?	32405.0
156	How do I increase my stamina for dancing?	32195.0
157	Exercises while recovering from groin injury/surgery	31855.0
158	Working out same muscle group two days in a row (or before full recovery)	31612.0
159	For better muscle growth, how many hours' sleep are recommended after doing a workout?	31183.0
160	Body-weight exercises to target Trapezius muscles?	30753.0
161	C4 and Creatine together	30371.0
162	Should you work through soreness?	29961.0
163	Is it possible for muscles to shrink after a workout?	29662.0
164	Should I be running with aching legs?	29545.0
165	Why am I falling back when I am squatting?	29392.0
166	What is the best way to treat a jammed finger?	29093.0
167	If I can't get plenty of sleep, should I be doing anything different when trying to put on mass?	29011.0
168	Toning/Cutting while doing Stronglifts(5x5)	29009.0
169	Stretches/exercises to sit cross legged	28911.0
170	Using a rowing machine for abdominal muscles	28825.0
171	What is the meaning of: 5 sets of 3, 2, 1 reps?	28454.0
172	What are BCAAs, and what are they used for?	28453.0
173	"Does fat actually ""harden"" or is there something else going on?"	28435.0
174	What do Watts really mean on an exercise bike?	28387.0
175	Any reason for feeling nausea when working out?	28385.0
176	I can't stop sleeping?	28356.0
177	Pain in the top of my foot	28346.0
178	Are dumbbells alone enough to build strength?	28055.0
179	Does eating before situps do any harm?	27917.0
180	What activity level should I choose in calorie calculators?	27886.0
181	What is a jump rope good for?	27828.0
182	When I wake up after a two hour nap I feel like I was hit by a truck.	27350.0
183	Quinoa: red or white, which is healthier?	26764.0
184	At what speed should I run?	26744.0
185	What is the correct form for seated shoulder press with dumbbells?	26647.0
186	Push ups and (blood?) pressure?	26638.0
187	Is it normal when starting squats to not have flexible enough ankles?	26403.0
188	Is this heart rate too high for a beginner runner?	26392.0
189	I want to get ripped. Can bodyweight exercises do the job?	26246.0
190	Can both Yoga and Bodybuilding be done on same day?	26106.0
191	Excercises to try correct knees pointing inward	25846.0
192	Working out after a long period of not exercising	25833.0
193	Is it normal to have a belly when I relax?	25526.0
194	Why I am losing fat mostly on my upper body and face?	25468.0
195	How quickly is a banana assimilated?	25459.0
196	how to pull with your Lats	25119.0
197	Is it possible to effectively build muscle mass using resistance bands?	25025.0
198	How long should I wait with eating after an exercise?	24872.0
199	Treating a Runner's Knee - Apply Heat or Cold?	24851.0
200	How do I warm up my biceps?	24816.0
201	How to run without damaging your feet, knees or hips. 	24797.0
202	How do I determine what size exercise ball I should use as a desk chair?	24752.0
203	Does eating Nestle Fitness Cereal for weight loss require other nutrition?	24497.0
204	To add mass to my legs, should i lift heavy with few reps or lighter with 12-15 reps?	24497.0
205	why can't I do push up or pull up?	24164.0
206	What is the purpose of 'cooling down'?	24159.0
207	How do I fix an uneven butt?	24109.0
208	I am skinny, would joining a gym make me skinnier?	23929.0
209	Exercises to improve speed and running ability	23862.0
210	Foods for gaining muscle for a new gym guy	23826.0
211	What should I eat (if anything) after working out if I work out at night?	23666.0
212	How do I naturally boost my Testosterone levels?	23641.0
213	Lungs on Fire When Running	23505.0
214	How do I overcome this muscle / knee pain?	23374.0
215	Do I lose muscle or fat if I don't eat for 5 days?	23183.0
216	How accurate is the Navy Body Fat Calculator?	22774.0
217	Climbing stairs up to 8 story to reduce weight?	22773.0
218	Why aren't stiff legged deadlifts bad for your back?	22685.0
219	Insanity Workout: Whey or Nay?	22546.0
220	Avoid chest exercises for flat chest	22352.0
221	How to do deadlifts with dumbbells?	22239.0
222	How much does a resting pulse normally vary?	22140.0
223	How can I train my upper body strength with a shoulder that has a SLAP tear?	21835.0
224	How much does body fat affect body temperature?	21783.0
225	Dangerous to use barbell squat without padding?	21230.0
226	What happens when you miss a workout?	21143.0
227	Effect of squat and dead lift on long distance running	21127.0
228	Where should our legs be when we do pull-ups or chin-ups?	20860.0
229	"Having joint pain and ""cracking"" after getting back to working out with weights"	20602.0
230	How do I avoid straining neck muscles when doing pull ups?	20578.0
231	Legs workout and fat loss	20556.0
232	Which foods increase the insulin production in body ?	20486.0
233	Feeling squats in my right leg more	20437.0
234	Should I drink muscle gainer on days when I'm not working out?	20409.0
235	What muscles are targeted by these different variations of pull-ups: standard, chin-ups, and the neutral or parallel close grip pull-up?	20399.0
236	Does lifting weights pull back you weight losing process?	20393.0
237	What is the best pre-workout supplement for long distance running?	20378.0
238	"Wide grip pull-ups vs ""normal"" pull-ups"	20373.0
239	How often can one do a calisthenics workout?	20370.0
240	How do I measure Vo2Max at home without specialized equipment?	20285.0
241	How to regain endurance after a long period of rest?	20224.0
242	Loosening tight muscles?	20185.0
243	Should I do cardio if I want to gain muscle weight and lose fat?	20176.0
244	Why do I feel pressure in my ears while breathing hard?	20168.0
245	Skinny but flabby, what to do?	20083.0
246	"Is ""micronized"" creatine better than regular creatine?"	20019.0
247	Are night sweats common after long workouts?	19867.0
248	What is the best way to cool down after a workout?	19796.0
249	Is it good to use a steam room after working out?	19670.0
250	I run 7 miles in an hour, how can i make it 10 miles in an hour?	19511.0
251	Better for arm growth to train arms on the same day as squats?	19362.0
252	How to lose weight when morbidly obese	19221.0
253	Calculate how many pounds to lose from BMI	19163.0
254	Should you not work out within an hour of waking up?	19035.0
255	Barbell says 20kg on each side. Am I lifting 20 or 40kg?	18947.0
256	How to harden muscles?	18945.0
257	How does alcohol really affect gains?	18887.0
258	arms (biceps & triceps) are never sore the next day following workout	18879.0
259	Is it unhealthy to eat jacket potatoes everyday?	18721.0
260	Running shoes vs barefoot: which is better for squat and dead lift?	18718.0
261	How frequently can I hit the heavy bag?	18612.0
262	Is it bad to use a blender with protein powder	18611.0
263	What causes headaches after using the sauna?	18549.0
264	Can I train for a marathon with just two runs per week?	18383.0
265	What exercises help toning and firming up after losing weight	18289.0
266	Working out - do taller people have it harder?	18270.0
267	Why shouldn't you drink your protein shakes before or during a training session?	18232.0
268	How should you warm up for stronglifts sessions?	18175.0
269	What swimming technique is more effective for a cardio workout?	18152.0
270	Is it ok to heel-strike while walking?	18118.0
271	Pain in left palm while doing push-ups	18077.0
272	What can cause knee pain just below kneecap during a run, and how do I strengthen it?	18021.0
273	Do I need to obtain permission to use a high school track?	18015.0
274	What exercise would get heart pumping fast very quickly?	18011.0
275	Lost 4 kg after 1st month of gym, then it stopped and I did not lose a pound after that.So my second month of gym was a total waste? why is that?	18006.0
276	Can I work my arms every other day?	17910.0
277	Do protein supplements have any side-effects?	17689.0
278	Is eating rice everyday healthy?	17664.0
279	How far should I go on my first cycle?	17569.0
280	Is there a biological reason for women to be weaker then men (in the same weight category)?	17501.0
281	Constantly feeling tired despite sufficient sleep and regular exercises.	17495.0
282	Pain just above knees after squats	17465.0
283	"Should I ""feel the burn"" during a workout?"	17326.0
284	Should I be doing dips or push ups?	17259.0
285	Are sit-ups harmful to female anatomy?	17198.0
286	When is the best time to drink PHD Diet Whey Protein	17162.0
287	I'm not sore after doing squats. Am I doing something wrong?	17135.0
288	How to Get Bigger And Stronger with no gym or weights	17081.0
289	What exercises are good to build up to performing chin-ups?	17081.0
290	Just finished 12-week shortcut to size. What's next?	17050.0
291	Why isn't barefoot squatting recommended?	16974.0
292	Leg pain after running & jumping	16916.0
293	How do I remove and prevent calluses from weightlifting?	16857.0
294	What are superficial muscles?	16856.0
295	Cardio vs. Weight lifting. Which one is better for losing weight?	16821.0
296	What are good cardio exercises for a one legged man?	16814.0
297	Push-ups - small range of motion vs full range of motion?	16799.0
298	Weight vs resistance	16760.0
299	What should I look for in a fitness exercise mat?	16640.0
300	Proper ergonomics for a standing desk?	16569.0
301	How can a scale measure body fat and water percentages, muscle and bone mass, BMI, BMR and AMR (calories burned)?	16562.0
302	Replacement for chicken breast for high protein?	16554.0
303	What is the best way to get rid of love handles and lower belly fat?	16442.0
304	How is it possible to use a higher percentage of our theoretical strength?	16383.0
305	Is there any benefit to having a sauna after weight lifting?	16368.0
306	Does running reduce the muscle gained by gym workouts?	16332.0
307	How can I keep my balance while doing squats?	16329.0
308	What exercises should I perform to reduce fat on a specific area of my body?	16292.0
309	What are the differences between Paleo and Atkins diets?	16257.0
310	What did I do to my knee, and how should I recover?	16255.0
311	One Rep Max related terminology - What 5RM mean?	16145.0
312	What are some safe chest exercise for people with shoulder impingement?	16128.0
313	How to breathe in lifts requiring tight core (squats, deadlifts)	16072.0
314	Why does cardio/aerobic exercise lead to muscle loss?	16045.0
315	Should I do my deadlifts on leg day or on back day?	16007.0
316	Big chest and lats with simple bodyweight routine?	15984.0
317	What are the recommended exercise types for getting broad shoulders?	15891.0
318	How do I come to a stop while ice skating?	15849.0
319	Skinny wrists - will this change as the rest of me does?	15801.0
320	What is the best iOS App for tracking Starting Strength progress?	15776.0
321	Body Composition Analyzer - How to calculate the fitness score?	15686.0
322	How to prevent calf cramps while swimming?	15657.0
323	"Troubleshooting ""Body By Science"" workout"	15650.0
324	Is bench press with dumbbells less effective?	15650.0
325	Exercises that can replace squats?	15602.0
326	Running, eating less but not losing weight?	15569.0
327	calisthenic exercise vs weight-lifting	15407.0
328	Deadlift - weight & reps too light & too many?	15369.0
329	The Honey Diet - Why doesn't it work?	15352.0
330	Eating pasta and developing a sixpack	15261.0
331	What is tabata? How effective is it?	15213.0
332	Having a stronger right hand than left hand	15191.0
333	plastic foil to lose belly fat faster	15140.0
334	Knees are sore when running for the first 10 minutes but fine after?	15032.0
335	How to structure a high intensity interval training (HIIT) program?	14771.0
336	Can I remove the nasty rubber smell from new equipment?	14762.0
337	How does the angle of the squat machine affect muscle activation?	14722.0
338	At what time are oats effective?	14646.0
339	Which activities increase flexibility?	14578.0
340	Bodyweight exercise for the 'v'-muscle in the lower abdomen	14536.0
341	How effective are Kneeling Cable Crunches?	14525.0
342	I feel sleepy while doing weight training	14509.0
343	When is 5x5 deadlifts too much volume?	14412.0
344	Tips to lose fat without running, jogging etc (have bad knee)	14398.0
345	Heart Rate (bpm) vs Basal Metabolic Rate (BMR) ?	14279.0
