	Title	ViewCount
12546	How to convince my wife that my best friend and I are just friends?	57326.0
2655	How do I tell my new boyfriend that I make a lot of money?	49569.0
8587	How to ask cashier out for date	49248.0
8640	How to talk to a girl who's sitting next to me but wearing headphones?	47612.0
2219	How to avoid being seen as a cash cow by my family?	47070.0
4931	How to deal with unwanted attention at the swimming pool?	46050.0
3010	Girlfriend gets extremely angry over small issues, how can I help her?	44919.0
8957	Dreamt of another girl, want to tell my girlfriend, but how without getting smited?	44123.0
9951	How can I avoid the awkwardness of a returning player who wears a low-cut shirt?	43611.0
9240	"My fiancée is addicted to a ""free-to-play"" (pay-to-win) game"	42556.0
3502	How to tell girlfriend I don't want to meet without hurting her feelings?	40945.0
11720	I'm 24 with a 4-year-old son. How to handle uncomfortable questions from people?	40586.0
14261	Disclosing my past relationships to my girlfriend	40211.0
14180	How do you deal with colleagues, acquaintances asking you for knowledge that you gained with months of effort?	39792.0
5198	How to reject a proposal from a close friend?	38126.0
13740	How to tactfully check whether my new partner is a man or a woman?	37468.0
5113	As a pedestrian, how to get someone to stop following you in a car?	36766.0
10001	I have a crush on a coworker but won't act on it, how can I tell my boyfriend about it and that I'll remain faithful?	36360.0
10265	How can I tactfully refuse to switch seats on flights?	36218.0
7310	How do I politely explain to my neighbour that I don't feel comfortable being alone with her in her house while my kids play?	35898.0
7271	How do I deal with a coworker who unplugs my monitor because I didn't turn it off?	35826.0
3181	WhatsApp: read and not reply without sounding rude?	35676.0
4686	How can I stop enabling my brothers without my mom exploding?	35559.0
12107	How can I convey to my technologically inept parents that my IT job is mentally draining	35473.0
8327	Losing interest in girl I date because too slow dating	35289.0
1308	How to ask a vegan to stop telling me about veganism because I am not interested in it?	35245.0
6894	Coworker scans my body. How to best tell him to stop?	35146.0
6854	How to handle my girlfriend finding out about my second apartment?	32946.0
7075	How to gently turn down a female coworker who asked for a sperm donation?	32784.0
3948	How can I deal diplomatically with a feminist neighbor who continuously delivers political speeches in private?	32228.0
9162	"How do I answer the question ""why are you vegan?"" honestly, without making them resent me?"	31445.0
4507	How to ask your girlfriend to pay her share of the rent when she moves in?	31387.0
12038	How can a girl maintain friendship with guys after they're married?	31274.0
9256	How to tell an overweight person that the hike will be too hard?	30925.0
5306	What to do if you are accidentally following someone?	30867.0
9477	How can I let my girlfriend know that her insults are hurting my feelings and ask her to stop?	30801.0
8004	How do I tell a friend I can't afford her wedding?	30798.0
4624	"I gave a ""gift"" back to a friend after he asked for it back, and now he is trying to tax me for using it"	30745.0
5983	Girlfriend's nosy mother keeps expressing that she'll show up unannounced	30742.0
4063	"Sketchy ""friend"" recently revealed true colors, is attending my wedding. Should I un-invite, and if so how?"	30621.0
13290	Ask a girl whether she would like to come back to a hotel with me on a night out without being creepy	30350.0
4494	How do I ask my dad's friend if he's interested in me?	30162.0
1329	How do I react when a girl I like has a new haircut that I don't like very much?	29936.0
9191	As a woman, how to avoid angry stares from other people's wives or girlfriends	29887.0
12488	How do I tell a love interest I'm probably too old for her?	29746.0
1502	How to respond to someone when they ask how much you earn?	29386.0
7112	How to tell people I'm not their tech support?	29016.0
6788	How to miss my own stag/bachelor party?	28667.0
11940	How to set personal hygiene standards with my boyfriend?	28482.0
929	What are appropriate gender-agnostic alternatives to sir/ma'am?	28428.0
13026	Complimenting a female co-worker without coming across as flirting?	28403.0
11180	How can I request someone to give up their seat to me on public transport if I have an invisible disability?	28114.0
5849	How do I respond to racist remarks from a coworker?	28026.0
9885	How do I deal with people trying to convince me to wear makeup?	27938.0
12665	How can I try to get my coworkers to stop their jokes on LGBTQ+ people	27556.0
10983	"How to enforce a ""No Shoes"" policy in my apartment?"	27491.0
4986	How to deflect awkward questions when shopping for women's clothing as a man?	27358.0
1571	How can I respond when someone asks me when I'm going to get married to my girlfriend?	27143.0
12980	How to talk to my brother-in-law about my concerns about his intent to propose to his girlfriend?	27069.0
5834	I live in a desirable, world-famous vacation spot. How do I handle visiting friends and set healthy boundaries?	26726.0
5659	How can I politely tell a family who invited me for dinner that I'm still hungry?	26690.0
11593	How can I politely get the attention of a coworker who is listening to music?	26640.0
7499	How can I politely ask my date to not use her phone unnecessarily during dinner, without ruining the night out?	26544.0
14359	How to communicate to my mother that I find it hurtful when she cooks dessert for everyone except me who is vegan?	26523.0
7690	How can I convince my partner to accept my best friend instead of wanting to break up?	26422.0
3767	How do I dismiss a stranger asking for money?	26418.0
3263	How can I explain to people that a programmer isn't a computer technician?	26042.0
4904	"When and how do I tell the person I've been ""Netflix and chilling"" with that I love her?"	26028.0
1691	Partner reading my phone messages	25935.0
10372	How do I politely decline a request for a contract marriage?	25904.0
3561	Can I give flowers to a feminist as a present for hosting a party?	25870.0
6150	How to politely refuse telling your parents where you work?	25699.0
1446	How do I tell a co-worker that just because something is a hobby doesn't mean I want to do it for free?	25688.0
11447	How can I avoid coming across as condescending when telling a coworker I can't work on an issue right now?	25688.0
10301	How can I tactfully tell my ex-superior that I don't owe him anything?	25654.0
14068	Friend keeps making jokes about my ethnicity which are not funny	25608.0
8225	How to tell a friend I won't pay them for a favor they did for me?	25508.0
12848	I offered to help neighbor, how to discuss compensation?	25467.0
13566	How can I ask my girlfriend to be my gym buddy without hurting her feelings?	25458.0
5785	Is it rude to wear a sari as a westerner to a wedding in India?	25452.0
7809	How do I gently reject an indecent proposal?	25397.0
9656	How to stop people from looking at my mouth when we're having a conversation?	25159.0
12769	How to tell girlfriend that I don't like hypothetical and silly questions?	25113.0
7790	How to deal with (male) friends mocking me about my weight choices	25049.0
8403	How to politely notify in an online conversation that I am a woman?	24887.0
14513	How to tell a close friend they've been cheated on when the cheater is my good friend	24822.0
6208	How to deal with someone secretly taking pictures of you	24741.0
8026	How to let tech support subtly know that I am proficient without showing off?	24498.0
13532	How to respond when a Doctor's Receptionist asks the reason for the appointment, after confirming appointment is made?	24401.0
13816	How to let people know I don't appreciate being ignored in instant messaging?	24378.0
13175	How to talk about my comfortable lifestyle without sounding like I'm bragging?	24254.0
14299	Asking a coworker to discontinue his chivalrous acts towards me?	24038.0
9615	How to shut someone up while being only moderately offensive when they incessantly criticize my house?	23801.0
2650	How to deal politely with people asking about your job but unable to understand it?	23782.0
3521	How to clearly communicate that you're asking someone on a date?	23555.0
2558	I have been asked to keep a secret about a surprise that I believe will end poorly	23258.0
6325	Uncomfortable With Neighbor Mowing Our Lawn	23241.0
985	It's my birthday! How do I tell people who don't know, who might want to know, without being awkward?	23231.0
4231	How can I get a friend to stop calling me all of the time?	23195.0
6085	How can I convince my girlfriend not to worry about gifts I give her?	23192.0
13095	Is it acceptable to violate table manners in public due to my disability?	23027.0
4254	How should my wife handle an engaged admirer and his fiancee?	23022.0
7004	"How do I negotiate more ""Man"" time for myself without offending my partner?"	22949.0
12330	I'm in a committed relationship and I'm being hit on in the workplace - how do I stop it without bringing it to HR?	22864.0
2372	Arguing science with a passionate non-scientist?	22820.0
13505	How to address a double standard where my religious colleagues consider it OK to discuss religion, but then ask me not to?	22644.0
7233	How to tell a colleague to not drink water from my bottle	22642.0
3471	Should I have my child apologize to someone after he called them fat?	22636.0
8171	How to significantly reduce my hairstylist's tip, without upsetting her?	22482.0
11444	How can I decline someone's business card with tact?	22412.0
7980	How to deal with a jealous girlfriend?	22367.0
11921	How can I ask my girlfriend to split gas money for a long trip?	22362.0
6706	Girlfriend, vegetarianism and me not wanting to change	22231.0
12300	"How do I protest my child's suspension without ""poisoning the well""?"	22124.0
4427	"How to communicate to my co-workers that they don't have to say ""bless you"" when I sneeze?"	22117.0
1934	"How do I deal with a mother who won't take ""no"" for an answer?"	22108.0
14596	How do I tell students at a school I volunteer at to stop flirting with me?	21923.0
11166	How to quickly remove yourself from a homophobic conversation?	21921.0
12630	"How to get my wife to remember to say ""please"""	21874.0
10151	How can I give out my telephone number to my neighbors without implying anything?	21758.0
7465	How do I stress that having children is not an option when picking a date?	21723.0
13556	How to handle people blocking your view and breaking the rules at the theater by not sitting in their assigned seats?	21680.0
9690	How do I clarify that the gift someone gave me is mine when they are asking for it back?	21533.0
7002	How can I get my upstairs neighbors to stop stomping on my ceiling?	21428.0
11872	How can I handle my father challenging everything I say?	21232.0
