	Title	ViewCount
3344	What would be the effects on the human body if the oxygen level increased by a lot?	78314.0
10368	How can I create a poison that kills a person after a specific amount of time, and is treatable by an antidote?	70965.0
4642	Using international waters to avoid legal punishment	66314.0
4149	Possible distance travelled by horse over 6 weeks?	65874.0
97521	How can Santa keep his lists when the GDPR is around?	65758.0
2	What is the minimum human population necessary for a sustainable colony?	62377.0
1786	How big would a pair of wings need to be to allow an adult human to fly in a given environment?	54895.0
11906	Breaking surface tension of water to survive high fall	53476.0
79373	How to safely check if you are immortal?	50660.0
8811	How do you prove you're from the future?	48453.0
13393	How many people are required for a healthy re-population of the Earth (Post-Apocalypse)?	47058.0
32733	You can control a Demon by knowing its True Name, but why?	46469.0
293	How could dragons be explained without magic?	46380.0
6189	How many people can you feed per square-kilometer of farmland?	45982.0
40906	If time travel is possible in the future, no matter how distant, why haven't they come back to tell us?	43295.0
55006	Does anyone know of a poison that can be ingested and is undetectable in autopsy?	41384.0
21139	What are the advantages of a coilgun v.s. a railgun?	40609.0
38	Are ravens a genuinely realistic way of carrying messages?	38973.0
33277	What's the smallest change to physics required to allow magic?	38102.0
24470	How would Facebook Sysadmins prevent the summoning of Cthulhu?	36042.0
4938	How would the world be different if ice was denser than water?	35229.0
105355	If everyone in the world disappeared except 35 random people, how long would it take for one of them to realize they're not alone?	34993.0
30609	Will unattended nuclear power plants actually cause damage to their surroundings?	34905.0
28065	You are an advanced AI that controls a smart house. How do you kill your master?	34303.0
25119	Santa is Satan, but why?	34122.0
84553	Releasing a T-Rex into a modern ecosystem wouldn't be that bad, right?	33391.0
23897	What single change would have given the best chance for the Axis to win World War 2?	29950.0
7005	If we put humans on planets with atmospheres different from Earth's atmosphere, but still containing oxygen, would humans be able to breathe?	29864.0
27715	How do I sell 100 gold bars without getting into trouble?	29736.0
9434	What could an average modern human achieve in medieval times?	29229.0
1038	Is it possible to genetically modify a being after birth?	28888.0
109953	Is there a single historic event which could be changed to cause the USA to use SI units?	28735.0
3731	Could a planet made completely of water exist?	28524.0
96843	Can a substance be more lethal in smaller doses?	28411.0
12407	Most effective long-term zombie killing weapon	28322.0
19600	I'm stranded on an alien planet. How do I measure an earth year without a clock?	27729.0
102060	What vehicle would be the best one to start a >1000 km travel in a post apocalyptic zombie situation?	26948.0
26738	What would happen if electricity stopped working?	26912.0
40615	How far back in time would English be understandable to a modern speaker?	26820.0
147	Would the human body support living on planets with a greater gravity than Earth?	26614.0
31894	How long after a global nuclear disaster would the world become habitable by humans again?	26568.0
2601	How would the human body develop under a different gravity?	26487.0
27844	How to survive the heat death of the universe?	26127.0
31045	Would a bear cavalry be feasible?	26038.0
3095	If accelerated natural healing were to occur, what would happen to the human body?	26027.0
75797	Can a casino system prove my (divine) luck as cheating?	25852.0
83218	If the Romans found one working steam engine would they have been able to copy and use it?	25799.0
9745	If magic is real, can it be true that rational scientific thought should exclude it?	25780.0
78019	Can a human fail a Turing test?	25742.0
552	Creating a realistic world map - Landmass formation	25432.0
32268	Why would vampires be incapable of entering a non-vampire human’s house uninvited?	25268.0
41121	How do I protect my shop from teleporters?	25144.0
69591	A poison that only works if you know it is there	25066.0
100478	Humans are gone - what can I harvest from their cities 30M years later?	24937.0
90329	Why can't spaceships go underwater?	24885.0
36043	What would a Boeing 747 look like if it were left in a hangar for 5,000 years. Could it still be flown?	24659.0
