	Id	TotalCm	ViewCount
0	2	1.0	1914.0
1	3	21.0	9949.0
2	5	21.0	2725.0
3	6	61.0	38793.0
4	9	21.0	23505.0
5	13	40.0	1879.0
6	18	29.0	6383.0
7	21	18.0	10415.0
8	27	8.0	1860.0
9	29	10.0	7492.0
10	40	44.0	7434.0
11	41	11.0	1150.0
12	45	6.0	488.0
13	50	4.0	14133.0
14	51	15.0	2475.0
15	53	8.0	595.0
16	54	10.0	3801.0
17	55	13.0	5476.0
18	57	3.0	2339.0
19	65	5.0	5101.0
20	74	26.0	9642.0
21	81	8.0	20019.0
22	84	3.0	963.0
23	86	24.0	2302.0
24	87	6.0	11969.0
25	96	8.0	5117.0
26	97	13.0	1333.0
27	113	22.0	11298.0
28	115	18.0	44125.0
29	118	11.0	9177.0
30	120	5.0	176.0
31	124	2.0	633.0
32	134	5.0	269.0
33	137	7.0	2428.0
34	139	15.0	1829.0
35	140	10.0	64528.0
36	142	1.0	189.0
37	144	5.0	9201.0
38	150	19.0	415.0
39	153	16.0	3624.0
40	155	3.0	1671.0
41	157	10.0	1334.0
42	158	9.0	718.0
43	165	8.0	1139.0
44	170	11.0	802.0
45	179	4.0	642.0
46	182	19.0	11462.0
47	183	5.0	3354.0
48	187	6.0	814.0
49	188	16.0	298.0
50	193	38.0	88057.0
51	200	9.0	12979.0
52	203	5.0	473.0
53	204	21.0	6123.0
54	213	2.0	414.0
55	214	1.0	126.0
56	216	7.0	1060.0
57	220	4.0	317.0
58	232	8.0	564.0
59	233	2.0	199.0
60	236	3.0	160.0
61	245	13.0	19035.0
62	248	5.0	1955.0
63	249	3.0	2900.0
64	262	9.0	5232.0
65	271	10.0	5173.0
66	272	6.0	222.0
67	277	6.0	1796.0
68	279	4.0	545.0
69	286	17.0	4934.0
70	290	7.0	340.0
71	292	9.0	481.0
72	293	32.0	4651.0
73	297	8.0	954.0
74	300	3.0	1916.0
75	308	7.0	300.0
76	312	8.0	2054.0
77	313	31.0	1803.0
78	320	5.0	1421.0
79	328	8.0	12271.0
80	329	6.0	156.0
81	334	11.0	3581.0
82	335	10.0	3306.0
83	344	5.0	2227.0
84	346	6.0	353.0
85	352	7.0	2150.0
86	354	9.0	86.0
87	365	3.0	375.0
88	366	4.0	31183.0
89	378	15.0	3332.0
90	379	9.0	1075.0
91	395	4.0	2031.0
92	400	38.0	44774.0
93	405	11.0	1031.0
94	409	9.0	821.0
95	416	7.0	796.0
96	418	5.0	1182.0
97	424	6.0	6357.0
98	425	8.0	1324.0
99	428	13.0	41673.0
100	429	9.0	18152.0
101	430	5.0	291.0
102	433	5.0	488.0
103	436	3.0	1326.0
104	450	7.0	3779.0
105	455	27.0	10221.0
106	456	15.0	1765.0
107	462	1.0	4289.0
108	468	7.0	1590.0
109	472	18.0	15891.0
110	473	2.0	1679.0
111	481	7.0	5633.0
112	483	2.0	5402.0
113	484	22.0	17081.0
114	485	2.0	1027.0
115	490	4.0	1047.0
116	492	7.0	24159.0
117	493	4.0	352.0
118	494	15.0	2682.0
119	504	21.0	8648.0
120	509	12.0	45561.0
121	512	5.0	291594.0
122	513	2.0	2220.0
123	521	6.0	1600.0
124	534	3.0	525.0
125	537	1.0	445.0
126	543	18.0	24872.0
127	547	2.0	1939.0
128	549	9.0	2552.0
129	556	8.0	347.0
130	573	4.0	1822.0
131	574	6.0	1613.0
132	576	12.0	5974.0
133	584	33.0	2368.0
134	586	9.0	16329.0
