	Id	TotalCm	ViewCount
0	1	15	6648.0
1	2	19	1732.0
2	4	22	8317.0
3	6	4	1905.0
4	11	22	1536.0
5	14	3	1922.0
6	16	19	1024.0
7	26	14	1950.0
8	30	14	3620.0
9	31	13	3267.0
10	32	11	653.0
11	36	2	796.0
12	56	9	1179.0
13	63	9	3222.0
14	74	5	1734.0
15	83	6	1223.0
16	85	6	1619.0
17	86	8	2236.0
18	87	7	1018.0
19	90	7	2309.0
20	99	12	3522.0
21	127	9	1908.0
22	130	20	6169.0
23	138	3	1242.0
24	139	5	319.0
25	141	10	3204.0
26	156	4	639.0
27	160	28	10826.0
28	161	6	5719.0
29	166	11	2287.0
30	170	15	370.0
31	177	23	2566.0
32	178	10	1862.0
33	191	1	1110.0
34	193	19	3851.0
35	201	11	622.0
36	204	2	851.0
37	210	18	3391.0
38	214	9	2213.0
39	215	9	4015.0
40	222	5	1543.0
41	223	12	2496.0
42	226	8	1060.0
43	235	24	1087.0
44	236	11	699.0
45	237	8	525.0
46	240	19	5197.0
47	249	19	1796.0
48	250	3	583.0
49	256	3	219.0
50	258	3	1356.0
51	259	5	869.0
52	264	7	496.0
53	269	41	4865.0
54	285	19	1716.0
55	287	13	1789.0
56	291	9	2075.0
57	297	15	513.0
58	301	12	9752.0
59	309	11	2495.0
60	323	3	1185.0
61	345	20	457.0
62	353	11	2657.0
63	355	6	1000.0
64	360	2	398.0
65	364	10	1797.0
66	366	11	1900.0
67	370	9	1457.0
68	375	6	8338.0
69	381	2	175.0
70	391	9	1421.0
71	397	13	2626.0
72	411	3	922.0
73	414	6	2019.0
74	422	4	1083.0
75	429	3	1110.0
76	432	5	1274.0
77	439	13	1893.0
78	443	21	4785.0
79	448	8	1271.0
80	458	6	510.0
81	459	5	1051.0
82	465	9	1464.0
83	468	6	1393.0
84	471	11	1237.0
85	474	3	307.0
86	479	11	1030.0
87	481	3	2949.0
88	486	10	554.0
89	491	2	924.0
90	494	2	805.0
91	495	8	445.0
92	499	17	835.0
93	500	30	2498.0
94	510	5	1859.0
95	511	11	681.0
96	515	12	670.0
97	526	7	1526.0
98	536	15	6827.0
99	538	2	2815.0
100	540	1	1009.0
101	544	9	4533.0
102	545	14	2331.0
103	548	5	727.0
104	556	9	1958.0
105	564	16	1426.0
106	569	5	228.0
107	571	9	1180.0
108	573	4	1345.0
109	577	26	9215.0
110	583	7	695.0
111	589	22	693.0
112	591	4	1027.0
113	596	9	1612.0
114	603	13	3032.0
115	604	5	5435.0
116	613	6	613.0
117	615	16	1076.0
118	619	5	1390.0
119	623	15	2942.0
120	626	12	895.0
121	627	8	2805.0
122	631	5	947.0
123	633	8	1244.0
124	634	17	6720.0
125	635	1	694.0
126	637	6	636.0
127	638	15	3298.0
128	641	3	1984.0
129	645	3	1848.0
130	646	6	246.0
131	662	5	436.0
132	663	127	20895.0
133	677	5	5381.0
134	680	8	780.0
135	683	14	4330.0
136	697	31	3491.0
137	703	34	3714.0
138	718	15	10306.0
139	735	14	2030.0
140	736	14	754.0
141	752	7	1823.0
142	762	9	1581.0
143	764	11	1290.0
144	766	23	6724.0
145	775	37	12145.0
146	789	9	1364.0
147	796	20	1857.0
148	807	26	5517.0
149	814	8	4057.0
150	816	6	593.0
151	820	33	9931.0
152	825	11	966.0
153	851	10	768.0
154	856	12	1919.0
155	863	12	3721.0
156	864	32	2090.0
157	869	21	11863.0
158	875	14	9898.0
159	901	22	4080.0
160	904	14	3196.0
161	905	12	3673.0
162	918	14	3461.0
163	923	7	689.0
164	924	18	230.0
165	930	10	1245.0
166	951	25	18346.0
167	959	19	5591.0
168	975	46	15845.0
169	986	22	8453.0
170	993	51	19466.0
171	994	9	2695.0
172	1023	16	1282.0
173	1030	15	1939.0
174	1048	18	2889.0
175	1052	14	990.0
176	1057	21	2185.0
177	1069	10	1471.0
178	1072	7	4251.0
179	1082	13	2059.0
180	1087	34	3969.0
181	1094	5	3507.0
182	1099	20	28428.0
183	1107	7	3026.0
184	1114	10	1354.0
185	1123	8	1191.0
186	1127	7	950.0
187	1131	33	3436.0
188	1139	25	12943.0
189	1148	27	13312.0
190	1156	18	16646.0
191	1163	24	23231.0
192	1183	14	5466.0
193	1186	9	1295.0
194	1187	8	1170.0
195	1193	7	2731.0
196	1199	11	3947.0
197	1207	6	2648.0
198	1216	34	2912.0
199	1219	7	1767.0
200	1244	9	920.0
201	1250	20	2462.0
202	1255	9	592.0
203	1257	16	1073.0
204	1261	7	3945.0
205	1272	41	16161.0
206	1290	2	578.0
207	1292	9	472.0
208	1299	4	1875.0
209	1302	2	843.0
210	1307	44	12616.0
211	1319	14	981.0
212	1325	20	1627.0
213	1326	13	4614.0
214	1333	7	778.0
215	1338	6	808.0
216	1350	6	1334.0
217	1354	21	3278.0
218	1363	11	1754.0
219	1366	18	2958.0
220	1370	9	485.0
221	1371	4	557.0
222	1389	3	1883.0
223	1399	54	5813.0
224	1419	4	929.0
225	1425	13	1889.0
226	1426	8	2006.0
227	1432	12	603.0
228	1435	18	889.0
229	1443	30	1230.0
230	1455	7	10967.0
231	1456	75	18071.0
232	1467	27	5656.0
233	1478	11	985.0
234	1480	21	2729.0
235	1489	30	7912.0
236	1502	25	5351.0
237	1521	21	4196.0
238	1535	9	5954.0
239	1536	9	5975.0
240	1539	72	18505.0
241	1543	5	3422.0
242	1556	64	35245.0
243	1567	5	2452.0
244	1573	20	6032.0
245	1585	89	29936.0
246	1586	29	8568.0
247	1623	8	621.0
248	1633	7	2096.0
249	1642	16	786.0
250	1656	3	640.0
251	1670	9	810.0
252	1671	40	5748.0
253	1676	14	1538.0
254	1689	4	312.0
255	1694	16	2565.0
256	1696	9	1669.0
257	1699	5	476.0
258	1700	6	1680.0
259	1701	4	1076.0
260	1713	23	1774.0
261	1720	18	1422.0
262	1722	18	4071.0
263	1730	6	2518.0
264	1737	53	25688.0
265	1752	8	1879.0
266	1773	8	2292.0
267	1775	19	4620.0
268	1780	24	18531.0
269	1782	10	979.0
270	1787	17	5488.0
271	1800	32	6914.0
272	1804	17	29386.0
273	1816	4	2356.0
274	1819	56	7150.0
275	1841	18	17997.0
276	1842	8	376.0
277	1850	4	259.0
278	1851	22	5681.0
279	1853	38	12832.0
280	1874	36	14105.0
281	1887	15	3174.0
282	1894	46	27143.0
283	1911	13	2521.0
284	1913	39	6783.0
285	1936	13	381.0
286	1943	3	1601.0
287	1948	73	9850.0
288	1952	14	4029.0
289	1959	49	17754.0
290	1960	45	14187.0
291	1964	34	7534.0
292	1980	6	1515.0
293	1981	14	1346.0
294	1986	18	1698.0
295	1992	6	234.0
296	2001	11	245.0
297	2002	14	7069.0
298	2006	11	3424.0
299	2033	57	25935.0
300	2047	22	5872.0
301	2061	44	8686.0
302	2092	13	1708.0
303	2115	42	16151.0
304	2137	16	1281.0
305	2150	35	2564.0
306	2151	19	1891.0
307	2169	6	2000.0
308	2172	40	9179.0
309	2183	18	9044.0
310	2204	9	7380.0
311	2211	18	3626.0
312	2217	36	6606.0
313	2223	57	18137.0
314	2232	29	11578.0
315	2235	48	7741.0
316	2276	5	527.0
317	2278	33	2749.0
318	2297	14	2297.0
319	2298	18	10229.0
320	2306	35	4288.0
321	2312	52	9891.0
322	2337	9	378.0
323	2340	27	14841.0
324	2342	35	9318.0
325	2344	14	3742.0
326	2353	10	4674.0
327	2355	13	3955.0
328	2358	39	3828.0
329	2361	58	22108.0
330	2374	14	1181.0
331	2378	7	1737.0
332	2380	9	1850.0
333	2382	25	10313.0
334	2405	26	8260.0
335	2426	15	2754.0
336	2435	72	14827.0
337	2456	13	1295.0
338	2459	6	563.0
339	2463	21	15950.0
340	2467	3	472.0
341	2472	12	839.0
342	2475	8	632.0
343	2488	8	1089.0
344	2494	27	905.0
345	2498	6	3395.0
346	2516	19	10896.0
347	2525	48	11138.0
348	2534	6	712.0
349	2536	19	1312.0
350	2539	39	8329.0
351	2541	21	4468.0
352	2542	15	1283.0
353	2547	9	244.0
354	2568	10	5212.0
355	2580	46	8342.0
356	2581	13	174.0
357	2587	20	9297.0
358	2615	9	6928.0
359	2626	13	3514.0
360	2629	7	664.0
361	2632	25	11422.0
362	2636	12	1717.0
