	Id	TotalCm	ViewCount
0	1	5.0	1340.0
1	2	19.0	5013.0
2	3	56.0	62377.0
3	5	5.0	161.0
4	8	49.0	5827.0
5	10	8.0	1120.0
6	13	30.0	5959.0
7	16	45.0	7093.0
8	17	7.0	548.0
9	18	10.0	2053.0
10	19	7.0	470.0
11	20	3.0	432.0
12	29	15.0	673.0
13	39	9.0	617.0
14	40	17.0	2762.0
15	42	9.0	38973.0
16	43	33.0	3119.0
17	46	9.0	3005.0
18	58	12.0	1101.0
19	68	12.0	807.0
20	71	31.0	23460.0
21	79	33.0	1883.0
22	82	31.0	2409.0
23	85	58.0	3263.0
24	93	7.0	1638.0
25	94	6.0	1775.0
26	96	25.0	2201.0
27	98	23.0	2111.0
28	101	10.0	4327.0
29	103	11.0	1185.0
30	104	11.0	407.0
31	111	21.0	1404.0
32	116	7.0	298.0
33	120	10.0	1078.0
34	123	27.0	2193.0
35	125	16.0	7596.0
36	127	17.0	1648.0
37	128	26.0	1830.0
38	133	7.0	406.0
39	142	4.0	499.0
40	143	26.0	2757.0
41	144	38.0	7148.0
42	146	13.0	952.0
43	152	12.0	6217.0
44	157	17.0	3221.0
45	158	48.0	26614.0
46	159	6.0	1319.0
47	166	15.0	969.0
48	176	46.0	5561.0
49	177	2.0	168.0
50	186	22.0	3166.0
51	196	12.0	2107.0
52	197	17.0	5045.0
53	206	10.0	845.0
54	216	15.0	788.0
55	218	9.0	1602.0
56	222	9.0	1556.0
57	229	35.0	2577.0
58	243	5.0	17555.0
59	263	4.0	627.0
60	264	2.0	406.0
61	269	19.0	1430.0
62	270	19.0	1145.0
63	275	35.0	1097.0
64	289	6.0	413.0
65	299	14.0	334.0
66	302	28.0	1319.0
67	307	15.0	1634.0
68	313	111.0	46380.0
69	316	23.0	5427.0
70	317	18.0	11254.0
71	320	6.0	1455.0
72	325	16.0	282.0
73	332	14.0	233.0
74	339	23.0	4763.0
75	342	35.0	3611.0
76	351	16.0	3491.0
77	352	4.0	264.0
78	355	21.0	1568.0
79	358	20.0	7317.0
80	363	21.0	3842.0
81	369	4.0	617.0
82	371	70.0	2716.0
83	372	41.0	2240.0
84	377	24.0	1438.0
85	380	5.0	282.0
86	381	19.0	509.0
87	382	5.0	709.0
88	388	27.0	1806.0
89	394	10.0	5616.0
90	400	18.0	523.0
91	404	28.0	5976.0
92	406	7.0	476.0
93	408	53.0	2049.0
94	409	12.0	823.0
95	410	13.0	403.0
96	416	8.0	1135.0
97	420	26.0	1723.0
98	422	10.0	512.0
99	425	21.0	3275.0
100	426	36.0	1234.0
101	449	39.0	4164.0
102	453	20.0	945.0
103	456	14.0	1666.0
104	457	11.0	3660.0
105	462	28.0	1936.0
106	463	20.0	4080.0
107	465	7.0	332.0
108	475	6.0	1100.0
109	480	5.0	1159.0
110	484	39.0	3407.0
111	491	28.0	2480.0
112	493	11.0	854.0
113	495	39.0	5844.0
114	499	32.0	4821.0
115	501	32.0	1689.0
116	511	10.0	446.0
117	519	39.0	4493.0
118	527	45.0	4116.0
119	532	82.0	1726.0
120	541	34.0	3411.0
121	542	40.0	3587.0
122	543	12.0	3260.0
123	546	8.0	257.0
124	559	12.0	1956.0
125	562	8.0	756.0
126	565	13.0	3089.0
127	569	77.0	7846.0
128	571	17.0	1024.0
129	575	5.0	21734.0
130	577	17.0	2863.0
131	579	66.0	9536.0
132	581	20.0	25432.0
133	583	19.0	1957.0
134	586	30.0	2248.0
135	601	21.0	2248.0
136	609	13.0	682.0
137	610	40.0	2331.0
138	612	28.0	2355.0
139	621	13.0	977.0
140	622	15.0	377.0
141	625	21.0	1135.0
142	628	53.0	10454.0
143	630	23.0	1151.0
144	636	7.0	355.0
145	637	14.0	2679.0
146	647	16.0	1680.0
147	667	30.0	2506.0
148	671	7.0	1870.0
149	672	55.0	4488.0
150	683	64.0	8225.0
151	698	11.0	3205.0
152	713	16.0	797.0
153	720	25.0	4086.0
154	727	18.0	1759.0
155	757	25.0	1957.0
156	760	16.0	690.0
157	780	35.0	7588.0
158	786	14.0	297.0
159	788	16.0	236.0
160	804	16.0	761.0
161	810	13.0	796.0
162	811	6.0	726.0
163	812	9.0	2591.0
164	813	8.0	870.0
165	819	18.0	5247.0
166	824	56.0	7611.0
167	843	74.0	9931.0
168	869	37.0	14406.0
169	877	32.0	6724.0
170	882	40.0	529.0
171	890	21.0	2854.0
172	895	46.0	3826.0
173	901	18.0	1128.0
174	910	9.0	603.0
175	919	37.0	3354.0
176	923	8.0	400.0
177	936	5.0	1241.0
178	948	12.0	749.0
179	951	8.0	1736.0
180	960	15.0	728.0
181	963	14.0	2576.0
182	966	90.0	5711.0
183	968	50.0	8451.0
184	979	20.0	8009.0
185	988	25.0	3010.0
186	1002	27.0	953.0
187	1020	14.0	5393.0
188	1029	23.0	2075.0
189	1031	21.0	3122.0
190	1038	11.0	192.0
191	1042	7.0	753.0
192	1043	21.0	1246.0
193	1052	27.0	4777.0
194	1058	13.0	728.0
195	1064	20.0	1955.0
196	1069	13.0	453.0
197	1070	40.0	1495.0
198	1082	37.0	873.0
199	1084	19.0	4087.0
200	1086	11.0	977.0
201	1091	17.0	2648.0
202	1092	18.0	28888.0
203	1134	9.0	186.0
204	1137	19.0	3664.0
205	1143	26.0	2175.0
206	1144	53.0	6788.0
207	1168	10.0	232.0
208	1169	30.0	3464.0
209	1171	28.0	6666.0
210	1179	4.0	131.0
211	1188	55.0	2771.0
212	1194	30.0	2264.0
213	1195	6.0	923.0
214	1209	40.0	2169.0
215	1213	42.0	1924.0
216	1220	18.0	416.0
217	1225	18.0	566.0
218	1238	16.0	3654.0
219	1241	22.0	4422.0
220	1245	21.0	495.0
221	1249	17.0	1098.0
222	1256	9.0	604.0
223	1260	12.0	995.0
224	1268	14.0	1820.0
225	1273	68.0	2705.0
226	1274	32.0	3744.0
227	1283	8.0	1326.0
228	1287	12.0	430.0
229	1289	12.0	402.0
230	1290	18.0	305.0
231	1301	9.0	480.0
232	1304	2.0	2046.0
233	1314	19.0	385.0
234	1315	37.0	5778.0
235	1323	16.0	502.0
236	1332	20.0	2316.0
237	1336	8.0	1532.0
238	1339	31.0	6288.0
239	1345	3.0	1375.0
240	1347	15.0	1804.0
241	1348	13.0	2430.0
242	1353	24.0	16794.0
243	1354	31.0	3970.0
244	1359	47.0	5278.0
