"TagName","Count"
"science-based",4342
"reality-check",3798
"biology",1888
"society",1513
"magic",1324
"technology",1305
"planets",1279
"creature-design",1136
"warfare",1020
"science-fiction",1012
"evolution",943
"physics",942
"space",864
"humans",818
"weapons",773
"aliens",635
"economy",602
"environment",507
"alternate-history",484
"xenobiology",477
"culture",475
"earth-like",472
"medieval",468
"space-travel",463
"spaceships",455
"politics",452
"government",446
"hard-science",433
"post-apocalypse",410
"technological-development",407
"climate",400
"geography",382
"fauna",381
"gravity",374
"mythical-creatures",374
"moons",372
"time-travel",340
"apocalypse",335
"astronomy",334
"space-colonization",330
"atmosphere",324
"near-future",321
"orbital-mechanics",317
"civilization",308
"geology",302
"earth",302
"cities",291
"flora",286
"super-powers",282
"language",277
"weather",263
"alternate-worlds",260
"religion",256
"communication",251
"artificial-intelligence",245
"worldbuilding-process",237
"survival",234
"chemistry",234
"space-constructs",229
"food",226
"stars",222
"energy",216
"psychology",213
"science",213
"engineering",198
"fantasy-races",194
"law",186
"time",170
"construction",167
"computers",160
"modern-age",160
"military",160
"genetics",158
"architecture",158
"history",156
"materials",153
"anatomy",152
"solar-system",144
"electricity",144
"flight",139
"alternate-reality",139
"terraforming",138
"underwater",137
"robots",137
"biochemistry",137
"population",136
"futurology",136
"dragons",136
"diseases",135
"zombies",132
"mars",131
"combat",129
"military-defense",126
"weapon-mass-destruction",125
"travel",122
"transportation",122
"medicine",119
"humanoid",119
"genetic-engineering",117
"reproduction",115
"habitability",114
"water",110
"colonization",107
"natural-resources",106
"worldbuilding-resources",105
"faster-than-light",105
"ancient-history",103
"map-making",102
"black-holes",102
"far-future",100
"armors",99
"nanotechnology",96
"agriculture",95
"intelligence",90
"universe",89
"bio-mechanics",88
"immortality",87
"spacetime-dimensions",87
"social-norms",87
"metals",86
"gods",86
"ecology",86
"currency",83
"interspecies-relations",83
"brain",83
"medieval-europe",81
"crime",81
"death",81
"temperature",81
"ships",80
"natural-disasters",77
"megastructures",77
"tactics",77
"light",77
"sex",77
"ocean",77
"scientific-development",75
"airships",75
"nuclear",73
"alternate-earth",72
"day-night",71
"merfolk",71
"clothing",70
"magnetism",69
"steampunk",68
"underground",68
"life",68
"teleportation",67
"mathematics",67
"radiation",65
"gas-giants",64
"electromagnetism",64
"generation-ships",63
"time-keeping",62
"power-sources",60
"vampires",60
"explosions",60
"strategy",60
"fire",59
"dinosaurs",59
"sunlight",59
"shapeshifters",57
"gender",57
"trans-humanism",57
"volcanoes",57
"water-bodies",56
"geopolitics",55
"domestication",54
"avian",54
"dystopia",54
"races",52
"urban-fantasy",52
"medical",52
"deserts",51
"health",51
"blood",51
"nuclear-weapons",51
"secret-society",50
"trade",50
"sea-creatures",49
"internet",48
"species",48
"climate-change",47
"vehicles",47
"asteroids",47
"vision",47
"dyson-spheres",46
"sea",46
"relativity",46
"extinction",45
"aircraft",45
"logistics",44
"simulated-worlds",44
"empire-building",44
"software-recommendations",43
"firearms",43
"wormholes",42
"shipbuilding",41
"nuclear-power",41
"mountains",40
"oxygen",40
"prehistoric-times",40
"navigation",39
"exploration",39
"ice",39
"rivers",38
"tides",38
"infrastructure",38
"colonies",37
"adaptability",37
"mythology",37
"alien-geometry",37
"gas",37
"santa-claus",37
"planetary-rings",37
"names",37
"law-enforcement",37
"ethics",36
"cataclysms",36
"slavery",36
"games",35
"isolation",34
"renaissance",34
"senses",34
"quantum",34
"insectoid",33
"post-scarcity",33
"virtual-reality",33
"antimatter",33
"seasons",33
"poisons",33
"security",33
"tools",32
"sapience",32
"telepathy",31
"rogue-planets",31
"music",30
"cybernetics",30
"kardashev-scale",30
"consciousness",30
"centaur",30
"nonspherical-worlds",30
"caves",29
"radio",29
"android",29
"mining",29
"middle-ages",29
"education",29
"insects",29
"diplomacy",28
"philosophy",28
"space-combat",28
"rpg",27
"sports",27
"cloning",27
"reptiles",26
"sleep",26
"cyborg",26
"mind-control",26
"control",25
"interstellar-travel",25
"photosynthesis",24
"space-exploration",24
"utopia",24
"rockets",24
"farming",24
"nuclear-war",24
"prison",23
"archaeology",22
"fuels",22
"galactic",22
"classical-elements",22
"natural-weapons",21
"vacuum",21
"mammals",21
"industrial-age",21
"space-elevators",21
"invasion",21
"zero-gravity",20
"currents",20
"microgravity",20
"mines",19
"scaling",19
"extreme-terrain",19
"supernova",19
"lightning",19
"skeletons",19
"cold-war",19
