"WordsI","n"
"answer",4262
"approach",2344
"bad",2663
"best",4055
"better",4013
"bit",2545
"case",3134
"change",2877
"conversation",4606
"day",3061
"example",2566
"family",3306
"feel",8213
"friend",5541
"friends",5854
"good",7199
"group",2453
"help",6532
"i'd",2985
"issue",2426
"keep",3505
"life",3417
"long",2995
"making",2609
"mind",2402
"money",2478
"parents",2568
"people",15483
"person",9218
"point",3987
"problem",4664
"questions",2566
"reason",2655
"relationship",4842
"simply",2448
"situation",5278
"start",2737
"sure",3816
"talk",5664
"talking",3072
"that's",3852
"thing",4147
"things",7603
"time",13670
"understand",3545
"well",5411
"won't",2440
"work",7195
"wrong",2333
"years",2521
