"WordsW","n"
"air",18268
"answer",17522
"atmosphere",14046
"better",17557
"big",15166
"body",18530
"change",15051
"day",15702
"earth",40799
"energy",37600
"example",19637
"food",16398
"form",14895
"good",26024
"gravity",14688
"hard",14054
"high",21494
"human",31420
"humans",29410
"keep",17169
"large",25265
"life",27384
"light",20725
"long",31412
"magic",21653
"mass",19043
"people",67584
"place",15111
"planet",38579
"point",22743
"power",27962
"problem",18439
"real",14979
"ship",15816
"small",21231
"society",15163
"space",29886
"species",17331
"star",13985
"surface",15567
"system",29546
"technology",20392
"that's",15218
"thing",16183
"things",28168
"time",64106
"water",33872
"well",31315
"work",27904
"years",28552
