"Id","PostTypeId","AcceptedAnswerId","CreationDate","ViewCount","Body","Title","CommentCount","OwnerUserId"
9910,1,11402,"2012-12-04T08:04:53.447",413093,"<p>For years I'm listening from everyone that we have to stop masturbation and also limit sex as it let down process of gaining muscle. Also everyone in gym suggests me to completely stop masturbation.</p>

<p>Is there any effect of masturbation and sex on gaining muscle through gym workout? </p>

<p>If there is any effect, then is the effect and quantity of effect is same for masturbation and sex or they are different.(Because I'm more concerned about masturbation here, and not sex).</p>

<p>I read a on link <a href=""https://fitness.stackexchange.com/questions/2640/effect-of-sex-male-orgasm-on-athletic-performance"">Effect of Sex/Male Orgasm on Athletic Performance</a> on this site about it, <strong>but it discusses on effect on Athletic performance, and I'm concerned about effect on muscle gain</strong>. Because I'm not athlete, I'm 29 years old weighting 69 kg who is not related with any sport and just want to gain muscle.</p>
","What is the effect of masturbation on weightlifitng ability?",5,4568
512,1,518,"2011-03-07T19:47:31.003",291594,"<p>I have been participating in Zumba lately and I feel more stiff after I do something else rather than Zumba. Is Zumba a good choice to working out or is it more a fun choice if it was Zumba or nothing? What does Zumba do?</p>
","How effective is Zumba in weight-loss and toning?",2,48
1005,1,1008,"2011-03-21T17:27:32.600",289433,"<p>It is causing a lot of pain on my SI joint when the hip is out of place, Saturday I went to the Chrio and he popped it back in place, Sunday I noticed a huge improvement in my movement. By the end of the day Sunday, it was back out again. Now it's Monday and the pain is back, I'm sick of going into the office to get fixed and it only lasts a few days. Is there any technique for a self re-adjustment of the hip?</p>
","My hip goes out of place within a matter of days after the Chiroproactor pops it back into place, is there any way I can pop it back myself?",6,484
8179,1,8184,"2012-09-24T03:11:14.537",202813,"<p>I have recently noticed that in my gym they have two different sizes of barbells. The difference between them is only in length, but not in diameter. the reason why I'm mentioning that is because I was doing some research and found out that standard bars, which usually weigh about 35 pounds, have a smaller diameter, but These shorter bars have the same 2"" diameter as the longer bars, so do they also weigh 45 pounds?</p>
","How much do empty barbells weigh?",3,3250
5032,1,5038,"2012-01-04T19:36:04.573",199298,"<p>This is going to sound like a stupid question. I apologize. But I've had it on my mind for a while and it needed to be asked.</p>

<p>My question is: <b>how do you use the shower at the locker room at the gym?</b></p>

<p>I told you it was stupid.</p>

<p>But really, I've had gym memberships for a total of about 5 years during my life (not consecutive). I've gone frequently and worked out, but I've never used the showers there. Why not? Honestly, I've just been too nervous about it. It's not so much public nudity itself that makes me nervous. It does make me feel weird and a little self conscious to take my clothes off in a room with other people in it, but I don't think other people really care that much. What <em>does</em> worry me though is the possibility of committing some kind of social faux pas or perhaps even exposing myself to some kind of safety hazard.</p>

<p>Some of the things that have run through my mind as I contemplate taking a shower at the gym: </p>

<ul>
<li>Where do I keep my clothes? </li>
<li>If in a locker, should I wear a towel between the shower and the locker?</li>
<li>Where do I keep the <em>towel</em> while I'm in the shower? Not every place I've been to has somewhere to hang it.</li>
<li>If there are no private showers, is it normal to shower in a bathing suit or similar attire? My current gym has private shower stalls with curtains, but I've been to gyms where the showers were more community style.</li>
<li>Where do I keep my cell phone/wallet/keys? I can't really bring them with me into the shower, so I suppose I'd have to keep them in the locker. But is that safe? If someone broke into my locker while I was in the shower, I'd lose everything valuable <em>and</em> I'd have no clothes.</li>
<li>If I use a shower that strangers have used, are there any possible health repercussions? Do I need to wear sandals to protect against athlete's foot, for example?</li>
<li>Is it normal/OK to perform other grooming functions, such as shaving, or brushing your teeth, in a gym locker room?</li>
<li>Etc</li>
</ul>

<p>So again, in summary, <b>what is the safest and most socially acceptable way to use a locker room at the gym?</b></p>

<p>It does surprise me how anxious I feel about this, considering I'm usually pretty laid back about most things. I have been to the hot springs and even bath houses in Japan, when I was there visiting friends. But I felt less anxious about that because I was accompanying people who knew what they were doing, and I just did my best to imitate them. When I go to the gym locker room by myself I feel completely out-of-sorts. I feel like everybody else in the world has read some secret manual about how to deal with this and nobody ever handed me a copy. Please help!</p>

<p>If there's some cultural ambiguity about social customs, please assume for the purposes of this question that we're talking about the United States.</p>
","What is the proper procedure for showering in a gym locker room?",4,323
15032,1,15043,"2014-01-14T02:56:26.190",195030,"<p>I am a 17 year old athlete, and am trying to build muscle effectively. I workout maybe 3-4 times a week for an hour with a combination of running, pushups, crunches, lifting and chin ups in varying order. I am working to increase my endurance as well as mass and strength and I often drink whey protein after workouts, but some of my friends drink it pre workout. I wanted to ask the community if it is more effective or efficient to drink it pre or post workout to maximize muscle gain. </p>
","Is it better to use whey protein pre or post workout?",0,6321
1731,1,1744,"2011-04-25T15:11:09.110",179350,"<p>How long after eating should I wait to exercise, or does it not matter? I am mainly talking about cardio, not weightlifting. I am trying to lose weight, not gain it, and in large amounts.</p>
","How long should I wait to exercise after eating?",4,785
4358,1,NA,"2011-10-27T01:43:56.627",165625,"<p>I'm in good aerobic shape but never did strength training.  Yesterday, I did some basic strength work, using both dumbbells and machines.  Nothing too crazy - I started light and built my way up.  I feel fine today, with a moderate soreness.  <em>But</em>, the one heavy pain I have is that I can't straighten my arms.  I felt this immediately after working out, and it's only gotten worse.  I feel pain on the inside of my arm (opposite my elbow), even if my arm is relaxed, and if I try to straighten it, it gets very intense.</p>

<p>I warmed up and cooled down aerobically, but didn't do any real stretching.</p>

<p>What causes this? Does it have to do with machines versus dums? What should I do to avoid this next time?</p>
","Sore after work out - can't straighten arm",1,3439
6828,1,NA,"2012-06-14T16:26:16.430",141141,"<p>I am a man in my twenties. Although I am 5 feet 6 inches tall, I weigh only 100 pounds. I want to gain weight as soon as possible. <strong>How do I gain weight and muscle as fast as possible?</strong> </p>
","I am underweight. How do I gain weight and muscle?",3,3668
2640,1,2646,"2011-06-23T15:39:25.753",139206,"<p>""<em>Women weaken legs.</em>"" -- Mickey from Rocky I</p>

<p>I've often heard and have been told from coaches even that one should abstain from any sexual activity, irrespective of whether it is manual or with a partner, before an athletic event.  </p>

<p>Is there any physiological reason for this advice or if said advice is being given only so that the male athlete stays mentally focused.  Are there effects on testosterone levels that are significant enough to affect athletic performance?  Does sex really make your legs weak?  Is the effect of sex/orgasms on athletic performance even measurable due to other variables like nutrition, sleep, mood, etc. etc.?</p>
","Effect of Sex/Male Orgasm on Athletic Performance",0,43
