"Id","PostTypeId","AcceptedAnswerId","CreationDate","ViewCount","Body","Title","CommentCount","Tags"
16441,1,16468,"2018-07-12T15:27:59.310",57326,"<p>I have a friend (a woman), who I met around 8 months ago. Since then, she has become my best friend and we are extremely close. Understandably, my wife is envious of the relationship and even sometimes suspects it is more than a platonic friendship (at least emotionally). </p>

<p><strong><em>How can I convince her that the relationship is platonic without changing the nature of the friendship?</em></strong></p>

<p>Here are the critical, key points:</p>

<ul>
<li><p>Me and 'Katie' (fictional name for my friend, for future reference only) met at a wrestling class. This is an intimate sport with a lot of closes, physical contact. We both love the sport and we train together 3 times per week (in a class situation) and then 1 on 1 alone once a week.</p></li>
<li><p>We meet up once a week for a non-wrestling related day. We usually do another activity just for fun and then go out for food or just hang out somewhere for the day.</p></li>
<li><p>We have a holiday booked for 1 week. It is a training camp and we are sharing a room, but it is a twin room.</p></li>
<li><p>We speak on the phone (via a texting app) on average 2 - 3 times per day. I would say we exchange an average of 20 - 50 messages per day. We always send one to each other last thing at night.</p></li>
<li><p>When we have been apart, we have told each other how we miss each other and have exchanged mutual feelings of loving each others company, loving being friends etc. She has also said if I am down or look sad that it makes her feel the same way.</p></li>
<li><p>Understandably, the above makes it look like there is something more than friendship potentially. But here is the thing. We are both married. She has said she is happily married and has 4 children with her husband. But she has also said that he is happy with our friendship and that she wants us to be friends forever. She said that since knowing me, she has been much happier in general.</p></li>
<li><p>I don't know if this has any relevance but I thought I would include it anyway that I was recently diagnosed with Autism. But I don't personally agree with that and also I have a job etc and friends so I am pretty 'normal' even if it is correct.</p></li>
</ul>

<p>The friendship has dramatically improved my happiness levels. Having such a close friend is amazing, and I want to keep that, while still keeping my partner happy and comfortable also.</p>

<p>I have spoken to my wife about the friend and she said she won't stop me seeing her but that she is very jealous of it and doesn't like it. </p>
","How to convince my wife that my best friend and I are just friends?",7,"<relationships><united-kingdom><friendship><marriage><autism>"
3221,1,NA,"2017-09-03T12:44:44.367",49569,"<p>I am usually very secretive about my income. No one really knows how much I make and I was taught to never talk about money to friends. I make about ten times what my boyfriend does. He's also a professional and makes good money himself. We've discussed money before but I've always just avoided the subject. </p>

<p>He often offers to pay for things and I try to go halfsies with him because I feel bad, but he sometimes insists because he's the guy. </p>

<p>We've been dating for three months now and I don't like hiding things from him. Like this week I did contract renegotiations with clients and it was stressing me out and it went so well and I couldn't explain all the details why I just had to be really vague.</p>

<p>My biggest fear is that this will change things.</p>

<ul>
<li>What if he treats me differently?  </li>
<li>What if he doesn't like that I earn more than he does?  ""Guys must look after girls"" and all that.</li>
</ul>

<p>I know that I'm probably over reacting to this and it'll probably be fine but I am really stressed about telling him about this and how it will go and if it's the right time. I don't want to make a big deal of it either, I just want him to know and then we go back to normal. How do I do that?</p>

<p>We're in our 20s, in the United Kingdom.</p>
","How do I tell my new boyfriend that I make a lot of money?",5,"<united-kingdom><money><romance>"
11008,1,11009,"2018-02-26T09:23:53.337",49248,"<p>I am 21 years old and living in a large city in Germany where smalltalk in local markets is not a common thing.</p>

<p>A new cashier joined my local food shop. She’s always at the checkout and never doing stuff like sorting products or cleaning the floor where I could actually ask her out. I am quite new to relationships, but the signs she gave me are promising.</p>

<p>My question is how I can ask for her number, or ask her out for coffee while she is only sitting at the checkout? I mean there are always like 5 people before and after me, and I think it would be awkward if we are changing numbers while customers are waiting behind us. Or even worse if I read the signs wrong and she rejects me? Since the store is just 5 min away from my place I visit regularly and don't want to leave a bad impression there.</p>
","How to ask cashier out for date",1,"<germany><romance><customer-interactions>"
11069,1,NA,"2018-02-27T04:28:34.347",47612,"<p>Over the past couple of weeks, there's been this really cute girl who sits near me inside a coffee shop, which has a cozy, ""productive"" vibe to it -- everyone's doing work on their laptops.  I want to start a conversation with this girl, but there's one significant obstacle: she's always wearing her headphones.   </p>

<p>So, my question is: </p>

<p><strong>How can I effectively and politely start a conversation with this girl who's sitting next to me and wearing headphones?</strong>  </p>

<p>We've seen each other - and smiled at each other - for a few weeks now.  The vibes feel pretty good, but her wearing the headphones makes it tricky to say ""hello"" to her.</p>

<p>The location: Manhattan, New York, United States.</p>
","How to talk to a girl who's sitting next to me but wearing headphones?",4,"<conversations><united-states><awkward-situations>"
2699,1,2718,"2017-08-28T00:28:31.383",47070,"<h2>Situation</h2>

<p>I'm German, in my mid-20s and currently living together with my girlfriend without kids. I earn a fairly good salary for my age compared to other family members and was always a saver (cheap car, no expensive vacations, ...) to fulfil my <strong>ultimate</strong> life goal of buying a house (real estate) for myself. Recently I also inherited some money which I of course also want to spend on my house.</p>

<p>Sadly, some of my (close) family members (like my sister/her husband and partly my mother) can't handle their own money/income that well (at least this is my impression, of course, this view is biased). They spend money on stuff that I never would spend so much money on (e.g. leisure time, amusement parks, vacation together with their kids). It is also not that they are poor. They have a very good double income.</p>

<p>Regularly they ask me for a loan to pay their stuff <em>because they can't</em>. The amount of money they owe me is getting higher and higher. Of course, I want to help my family in critical life situations, but not to let them live their dream life while I lose money to invest into my future house. If I try to say no, they come up with sentences like:</p>

<ul>
<li>We <em>need</em> that new car because we both have jobs (one of the parents could easily travel by bike)</li>
<li>Get old enough to have kids, then you will understand</li>
<li>You don't even need your own money</li>
<li>We need a cleaning lady because I can't handle it alone</li>
</ul>

<p>Eventually, I'm giving them the loan because I don't want to be seen as a complete mug.</p>

<p>In some bigger cases, I have a valid, written contract. For smaller amounts, I usually said to them to add this to the final volume of the money lent. They started paying back but stopped quietly (!) doing so for some months until I asked them to start paying again (and they did). I could have cancelled the contract (because there's a clause for this case), but eventually I didn't. </p>

<p>They have interest rates, far lower than from a bank and also including an agreement for regular payments, which they have not fulfilled all the time. Because they didn't, the interest rate being so low caused the whole loan to be a negative game for me because of inflation. I am in no way wealthy, I just have above-average savings and earnings which I currently don't spend to save on my life goal.</p>

<p>Finally, this pattern of behavior has set a bad example for my nephew: he is now asking me for a loan. His own mother can't lend him any money because the next vacation is already booked.</p>

<h2>Question</h2>

<p>How to avoid being seen as a cash cow in my family without being seen as a grasping and unhelpful person? My goal is to not give them any more money in the future.</p>

<hr>

<p><em>A thing I always ask myself is whether the problem I have is really on my own side and it should be okay for family members to ask for money even for non-critical stuff.</em></p>

<p><strong>Responses to comments</strong></p>

<blockquote>
  <p>Did you get anything written down? Or does the exact amount and even the fact that they did loan any money at all come down to your and their memory (or conscience)?</p>
</blockquote>

<p>In some bigger cases I have a valid, written contract. For smaller amounts I ususally said to them to add this to the final volume of the lent money.</p>

<blockquote>
  <p>Are they actually paying back any of the ""loans""? How much total money do they owe you? €5k 10k 20k?</p>
</blockquote>

<p>Yes and no. They started paying back but stopped quietly doing so for some months until I asked them to start paying again (and they did). I could have cancelled the contract (because there's a clause for this case), but eventually I didn't. The total money lent is more than 10k.</p>

<blockquote>
  <p>Are those loans with agreed interest and regular payments, or just ""pay me back when you can""?</p>
</blockquote>

<p>They have interest rates, far lower than on a bank and also regular payments, which they did not fullfil all the time. Because they didn't, the interest rate so low caused the whole loan to be a negative game for me because of inflation.</p>
","How to avoid being seen as a cash cow by my family?",0,"<family><saying-no><money><germany>"
6080,1,6081,"2017-10-31T18:10:00.130",46050,"<p>I swim twice a week in a sports complex.  My hours are late and the place is almost empty.</p>

<p>A few days ago a guy started a chat with me while I was in the sauna. I saw nothing wrong with it, so I maintained the small talk, but then the guy asked me out. </p>

<p>I said I wasn't interested,  but he wouldn't take ""no"" for an answer, though I told him no at least ten times. He also asked me for my phone number. Not wanting to give him a fake one I said ""not interested,  thanks"" another time and escaped to the swimming pool. The guy followed me there.</p>

<p>He almost gave me a heart attack when he groped me in the water. What's more, the guy who swam in our lane told us off (probably thinking we were a couple) to take it somewhere else, then swam off, annoyed.</p>

<p>Other than him there was only the lifeguard (in quite a distance) and a few other swimmers. </p>

<p>As I couldn't get rid of the guy I escaped to the changing rooms and waited there for him to leave. </p>

<p>What should I do if I encounter him next time? Tell the lifeguard?  But his job is to rescue people from the water, not from sexual harassment? </p>

<p>Environment: western, liberal</p>
","How to deal with unwanted attention at the swimming pool?",3,"<difficult-people><harassment><sexual-assault>"
3658,1,3720,"2017-09-10T08:33:17.673",44919,"<p>When I went to live with my girlfriend a few years ago I was initially surprised by how she got very angry (using a very aggressive tone, shouting, ecc..) when I did ""something wrong"". By angry, I mean that she might use a very aggressive tone and shout with rant lasting several minutes. She never got physically aggressive or anything of that sort.</p>

<p>Just to give you some examples of the things that could make her angry were me saying some inappropriate jokes, the fact that I was frequently late or the fact that I was frequently a bit absent-minded or absorbed in other things.</p>

<p>While recognizing my mistakes, I made her notice that her reactions were somehow excessive and we reached the conclusion that I should be more careful around here in some contexts and at the same time that she should take better care of her behavior when annoyed or angry.</p>

<p>After a few years, now the situation is kind of different. I think I really improved with her and I am much now more careful, she also completely recognizes this. Unfortunately, at the same time, she worsened her behavior. She still gets angry, but now over smaller and smaller issues. Also, while at first, it happened mainly when we were alone, now she's doing this when other people are around, even friends or relatives, making it even more painful and embarrassing. </p>

<p>I never got so irrationally angry at her and never shouted at her in any way. When she gets angry and starts shouting I generally just shut up until she's over and then tell her that she went mental again. She generally answers at first by trying to justify herself in some way and then by recognizing that I'm right and the issue at hand was ridiculous (or sometimes even non-existent!) and by saying she's sorry and will be more careful in the future. Unfortunately, after a just a few days, we are again dealing with the same situation.</p>

<p>I think it's important to add that she doesn't behave in this way with her friends or acquaintances, while she does instead something similar with her parents. I think it's also valuable to say that she told me that her parents used to fight in this way quite frequently, especially when she was a child.</p>

<p>I tried to talk to her about the reasons behind her behavior, to try to understand if she just got really angry over nothing or she just has excessive reactions when she is just slightly annoyed and she seems to be more inclined to believe the latter. As a solution, I really tried to talk to her about this a lot and even suggested that she could visit a specialist (something she is now considering).</p>

<p>Is there any other thing I could do to make her improve her behavior?  </p>

<p><strong>EDIT, a few details I added in the comments:</strong></p>

<p><strong>An example of how she may get angry over a small thing:</strong></p>

<p>She may be looking at something funny on the web and asks me to join her. While doing it together it may come to my mind something related that I'm sure she may appreciates and I suggest her to search for that. Maybe she doesn't do that immediately (and that's fine of course) so after a few minutes I suggest it again and she flies off the handle. She may start to scream about how she wants to look at what she prefers, how she wants to be left alone, that she has already wasted too much time doing nothing, that she already had a very tough day and I'm only making it worse, and similar things.</p>

<p><strong>About her childhood:</strong></p>

<p>She had a very good childhood, in a upper-middle class family where she was treated like a princess. Her parents are a very strong couple, very close together. They just happened to share a lot of time together (both worked from home) and when some conflict arose they reacted by raising their voices, but AFAIK never insulting each others or worse.</p>
","Girlfriend gets extremely angry over small issues, how can I help her?",5,"<family><life-partner><anger>"
11467,1,11469,"2018-03-06T08:21:49.040",44123,"<p>So, I've recently dabbled in D&amp;D, which is basically a bunch of people hanging out and talking (punching goblins aside). So this opened up my social circle.</p>

<p>During my time doing this, I met this new girl who loves programming like me and we really clicked. While I do not have any romantic or sexual feelings towards this girl, she starred in my dream where I ended up kissing her (IN THE DREAM!). Side note, the main theme of the dream wasn't sexual, it was like an adventure and the kiss was in it somewhere.</p>

<p>I personally know that she has a boyfriend and also I repeat, I have NO intent on dating her in any capacity and would just keep her as a friend.</p>

<p>Now, my girlfriend Alice (yes her again), is not very confident about her looks, and has said on a few occasions how she's scared I'll leave her.</p>

<p>Basically I want to be transparent with Alice.</p>

<p>How can I tell her so that I don't set off her insecurities, or cause her to mistrust me?</p>
","Dreamt of another girl, want to tell my girlfriend, but how without getting smited?",8,"<relationships>"
12760,1,12763,"2018-04-04T04:21:58.433",43611,"<p>Sometimes I run RPG events for strangers, advertising on meetup.com to get people.  At these events, I spend around three hours asking the players what the characters are doing and narrating the results, trying to tell an entertaining and fun story.</p>

<p>I did this three weeks ago.  Of the four attendees to my game, one had a very low neckline, and several times I caught myself staring at her chest.  I felt bad about it and wanted to stop.</p>

<p>At the end of the game, the other players said things like ""thanks for the game, that was fun"".  This player just stood up and left.  I suspected that I had offended her.  I was sad, because I had wanted to run a fun event for everyone.</p>

<p>This coming week, I posted another RPG event to the meetup.  She has signed up again.  I guess in some sense this is heartening -- I guess she wasn't that offended?  But in a different sense, there's an awkward interpersonal situation here.</p>

<p>I want to avoid being distracted by her chest, and I want her to not feel uncomfortable by my glancing at it. How can I approach this situation in the least awkward or least offensive manner? I've considered saying some of the following to her:</p>

<blockquote>
  <p>Hey, sorry I was staring at your cleavage last game, I felt really bad about it.</p>
  
  <p>Hey, maybe you could wear a higher neckline next time?</p>
</blockquote>
","How can I avoid the awkwardness of a returning player who wears a low-cut shirt?",9,"<awkward-situations><gender>"
11853,1,11864,"2018-03-15T10:34:50.980",42556,"<p>My fiancée and I have been living together for exactly 4 years as of today.</p>

<p>She and I have always loved video games, we both own several consoles (PS4, Nintendo DS, Nintendo Switch etc), we actually met online on one of the official communities of one of these consoles.</p>

<p>She never played video games excessively, for instance, after no more than few hours she always stopped playing for the day.</p>

<p>It's already been a few months since she started playing one of those pay-to-win games on mobile (games where you are supposed to buy additional in-game items to proceed with the game), it's called Final Fantasy XV: A New Empire, and it's basically a Travian-like game, where you have your own village, you can add new buildings, upgrade them, attack others, and have a guild.</p>

<p>The game has some pretty expensive add-ins, the average price is around 100 dollars, but they can go up to 200 or more. The minimum is usually 20 dollars or so.</p>

<p>So far she bought just 25 or so dollars worth of add-ins and that's not a problem to me, even if I don't agree with spending money in such a dumb and worthless game.</p>

<p>The problem is that (I guess), not spending as much as her other friends on the game to buy speed-ups and make the game easier to progress. She plays this game from the morning to late night continuously, she doesn't work so she plays all day.</p>

<p>Even when we hang out together for some romantic time in restaurants and so on she always has the smartphone with her, with the game on.</p>

<p>I thought to give her an ultimatum of the kind ""stop with this game or I quit"", but knowing her she wouldn't accept this and she'd only get upset and probably leave.</p>

<p>I tried to get involved in the situation to help her make the game easier, I set up a bot for her to automate some extremely time-consuming actions, but it didn't help.</p>

<p>I really care about her but I don't know how to stop this addiction.</p>

<p>How could I approach her about this problem, making her aware of it and potentially finding a solution together?<br>
I'd like to get advice on how to modify my behavior to help to adjust the situation.  </p>

<p>My objective would be to at least reduce the amount of hours spent on the game without compromising our relationship.</p>

<h2>Clarifications</h2>

<ul>
<li>I have already tried to explain this actually but with little to no results. I probably wasn't clear enough about the gravity of the situation so I'd like to know how to make the situation crystal clear and then possibly get advices on how to modify my behavior to start a process of change.</li>
<li>I don't actually care about the money; I care about the behavior and the quality of our relationship.</li>
<li>She has been playing this game for seven months already.</li>
</ul>
","My fiancée is addicted to a ""free-to-play"" (pay-to-win) game",7,"<relationships><games>"
