"Id","PostTypeId","AcceptedAnswerId","CreationDate","ViewCount","Body","Title","CommentCount","Tags"
4567,1,4572,"2014-11-25T11:19:32.380",78314,"<p>How would the human body be affected if oxygen levels increased by a lot? </p>

<p>Our air is 78% nitrogen and 21% oxygen. If it increased to 30% oxygen, what would the effects be and how long would it take for the effects to affect us.</p>
","What would be the effects on the human body if the oxygen level increased by a lot?",7,"<science-based><biology><humans><oxygen>"
14034,1,14040,"2015-04-10T09:19:17.117",70965,"<p>I did read several great thrillers where main hero is injected with unknown fluid and told, that such fluid is deadly poison unknown to normal medicine and our hero has 48 hours to live. If he wants to live longer, he has to do X to get antidote from villain...</p>

<p>But, is actually such poison plausible?</p>

<p><strong>Help me find (or design) such poison</strong></p>

<ul>
<li>It has to kill person in about 48 hours, assuming that such person will be very physically active for most of such time.</li>
<li>Classical action thriller hero is going to be injected with such poison. So you can assume healthy person who is well above average in psychical and physical abilities</li>
<li>Such poison should be treatable by antidote</li>
<li>After getting antidote, it should leave body as much unharmed as possible. My Action Joe wants to do another action.</li>
</ul>

<p>Should I care about such detail of story? Or should I go the usual way saying the poison is <em>Handvawium</em> and antidote <em>Unobtainium</em> if ever asked as author of yet-another action story?</p>
","How can I create a poison that kills a person after a specific amount of time, and is treatable by an antidote?",9,"<reality-check><medicine>"
6941,1,6948,"2014-12-24T17:36:06.527",66314,"<p>I am playing with the idea of a lateral thinking puzzle based around abusing international waters to make an action 'legal'.  For the sake of this question lets assume someone from the US is looking to do something illegal within the US.</p>

<p>(Added note: This is a worldbuilding question in that the desired law-free environment would practically be an isolated ""world"" with its own conditions, and this is a question about the backstory and conditions needed for it to be plausible. i.e. Suppose someone wanted to create a new environment by starting a new pocket dictatorship on an uninhabited island, or even a single ship, barge, or set of vessels, on 21st Century Earth. What set of laws and dangers would they need to work around?)</p>

<p>I know just traveling into international waters is insufficient to avoid prosecution, since your boat will likely be registered in the US and thus subject to US law.  Are there any other loopholes to work with this to make it legal though?  I have a few examples in mind, but I'm mainly asking for any way one could exploit international waters.</p>

<ol>
<li>If I have my own boat and I use it to travel to international waters without officially registering it in the US would I no longer be subject to US laws? </li>
<li>If I travel by boat to some tiny no-name uninhabited island that is outside of any countries boundaries and commit my crime there is it legal?  If so how far would I have to travel to get to such an island realistically (ie, are there islands not claimed by anyone that aren't in the middle of the Atlantic)?</li>
<li>If I claimed some tiny no-name Island could I declare myself to be an independent country with my own laws?  Then could I register boats with my own country and have them travel to various countries?  Effectively could I have a ""anything legal for a price"" service where anyone could pay to be picked up by my boat and take into international waters to do questionable things without it being illegal, since only my very lax laws would officially apply?</li>
</ol>

<p>Finally, if someone uses one of the above loopholes to commit a crime and comes back to the US, admitting to what he did, what could legally be done?  For instance if I murder someone in international waters I likely can still be arrested for premeditating murder, even if I'm not arrested for the actual murder, since I planned it in the US.  However, if I commit a crime like gambling, or marrying my favorite barnyard animal, or 'relations' with some 15 year old girlfriend, which doesn't have laws against premeditation would I be free even if I fully admitted and advertised my actions later?</p>
","Using international waters to avoid legal punishment",7,"<reality-check><law><sea>"
6411,1,6414,"2014-12-12T16:08:48.083",65874,"<p>I always get very annoyed if a writer is sloppy with maps and travel-distances.<br>
E.g. ""They left city Y and arrived in city X 5 days later."" When you look at the supplied map Y and X are a 1600 kilometers apart. Must have been really special horses.</p>

<p>So I like to avoid doing the same. Problem is that I don't know much about long-distance traveling by horse. And finding info on the Internet is very hard or my Google-Fu is failing completely on this one: All I can find is enduro-racing for horses and speed-records for horses. Neither of which is relevant for my problem.</p>

<p>To get to the actual questions, first some background:<br>
For a story in a Fantasy setting (late Medieval/early Renaissance world) I have a group of 8 people traveling by horse. The travel is going to take them 6 weeks. This duration is a given to make several parallel time-lines match up in the story. I like to keep the traveling as realistic as possible. Presume earth-like conditions.  </p>

<p>Travel is subject to the following constraints:  </p>

<ul>
<li>This is the only ""magic/fantasy"" aspect: The rider and his/her horse are magically bonded. This means the horse and rider can't be separated by more than a kilometer. The horse can't be abused or ridden to death: this would mentally unbalance the rider. So the horses need to survive the journey and arrive in reasonable condition. Each rider needs to ride his/her own horse. Due to the bond riding a different horse is impossible.</li>
<li>The riders and horses are accustomed to prolonged long-distance travel, but the horses are not specifically bred for this. They are high-quality riding horses, but not physically exceptional in any way.</li>
<li>Riders travel light (couple of saddle-bags, blanket). Majority of luggage, armor, food-supplies and camping gear goes on the pack-horse(s). Pack-horses can be replaced as needed. At most 1 pack-horse per rider.</li>
<li>Assume travel in summer in temperate climate. 20-25 Celsius during the day. At night at least 10 Celsius. About 18 hours of daylight. Weather is mostly dry, with the occasional light rain or maybe a short thunderstorm.</li>
<li>The party will often <del>usually</del> camp at night in the open. Horses will be able to find sufficient feed and water. <em>At least</em> every 4th or 5th day the party will encounter a village or town with an inn or a caravanserai so they can spend the night in comfort. In such places they can also buy supplies and pack-horses. A farrier is available in such places too.<br>
(<em>This item is slightly edited to clarify that an inn is less frequent than camping, but there wont be more than 5 days between inns.</em>)</li>
<li>Terrain is mostly flat or gently rolling plains. Some hills, but they are not steep. Woodlands, prairie, pastures and fields near villages/towns. The roads consist of hard-packed dirt or a dirt-gravel mix and are in decent condition. After rain they will dry out quickly so one can presume the travelers won't have to deal with heavy suction mud.</li>
</ul>

<p>Now for the actual questions:</p>

<ol>
<li>How much distance can I expect the party to cover on average per day? (Bear in mind they will have to travel continuously for 6 weeks.) I can add a few resting days if needed for the benefit of the horses.<br>
I have a great deal of leeway with the map (like adding an inland sea or impassable mountain range) so I can easily make the route match up to the kilometers required.</li>
<li>What would the typical traveling-day look like? I have no idea how fast the horses would actually go. How many resting-breaks would be needed during the day? How long would those have to be?</li>
</ol>

<p>I'm hoping for some enlightenment on the subject so I can construct a convincing ""travel-blog"" for this story.</p>
","Possible distance travelled by horse over 6 weeks?",17,"<reality-check><travel><medieval><renaissance>"
114033,1,114038,"2018-06-04T13:54:38.257",65758,"<p>For my non European readers, there is excerpt of what the <a href=""https://en.wikipedia.org/wiki/General_Data_Protection_Regulation"" rel=""noreferrer"">GDPR</a> means: (emphasis mine)</p>

<blockquote>
  <p>The General Data Protection Regulation (GDPR) is a regulation in EU law on data protection and privacy for all individuals within the European Union (EU) and the European Economic Area (EEA). </p>
  
  <p><strong>A processor of personal data must clearly disclose any data collection</strong>, declare the lawful basis and purpose for data processing, how long data is being retained, and if it is being shared with any third-parties or outside of the EU.</p>
</blockquote>

<p>I haven't been notified by Santa and/or his elves that he is collecting data about me. And mind you: my name and surname <strong>are</strong> my personal data, not to mention data on whether I have been good or naughty.</p>

<p>Moreover, Santa also needs my full address to deliver my presents, and again, <strong>that is also my personal data</strong></p>

<p>I haven't been notified by Santa whether he is updating his Privacy Policy, so my assumption is, that Santa stopped collecting these data, at least for Europeans.</p>

<p>Does it mean that Santa is delivering me <strong>nothing</strong> this Christmas? If there is any way around this, can you please tell me what it is and how can Santa deliver me presents while still being compliant with the GDPR?</p>

<p>Please assume I haven't been naughty.</p>
","How can Santa keep his lists when the GDPR is around?",24,"<reality-check><santa-claus>"
3,1,6,"2014-09-16T18:28:12.400",62377,"<p>How many humans are needed in order to sustain and grow a steady population in a habitable area?  Assume resources are adequate and the environment is favorable.</p>

<p>To further refine this question, lets assume this is an early spacefaring technology scenario, such as putting a colony on a neighboring planet (same system) with earth-like conditions with a technology level either current or near-future.  Assume the population has a mix of professions suitable for the new environment (resource gatherers, physicians, etc.)</p>
","What is the minimum human population necessary for a sustainable colony?",9,"<society><colonies><humans>"
2886,1,2889,"2014-10-20T12:42:59.690",54895,"<p>Lets indulge in a bit of <strong>Mad Science</strong>, here.</p>

<p>Assuming the world described here: <a href=""https://worldbuilding.stackexchange.com/q/1188/539"">Making the Enterprise Fly</a>
(60% of earth's gravity, 50% denser atmosphere) what is the wingspan needed to allow an average adult human to fly?</p>

<p>Assume feathery wings, and that the resulting winged human needs to be able to fly <em>well</em>, not just founder through the air <em>technically</em> flying.</p>
","How big would a pair of wings need to be to allow an adult human to fly in a given environment?",9,"<biology><physics><flight>"
15661,1,15663,"2015-05-04T21:09:42.037",53476,"<p>I'm writing a sci-fi story where a character has to jump off the top of a 140m (459ft) tall building, and fall into the sea. I think it's pretty obvious that no one could survive such a fall, so my question is, if this character would throw something before him that would break the surface tension of the water (or something to move away the water right before he would hit it), would he have a chance to survive the impact? Or is there an alternative to the situation in question?</p>

<p>Thanks in advance :D</p>
","Breaking surface tension of water to survive high fall",3,"<water>"
94154,1,94159,"2017-10-06T09:16:13.887",50660,"<p>My hero lived his usual life until recently, when he realized that Magic actually exists. So far he has been granted levitation for a short period of time and invisibility for several hours.</p>

<p>Both worked perfectly fine. Now, he received a third gift from a magician.<br>
Immortality.</p>

<p>My hero was told, that the immortality works like this:</p>

<ul>
<li>The only thing that can actually kill you, is getting your head cut off completely or starve to death.</li>
<li>Other injuries will still hurt, but everything else will recover itself without the need for surgery.</li>
<li>To recover, your body will need extra energy to heal. So if you are hurt, you have to eat and drink like crazy.</li>
<li>Basically the immortality works on the principle of ""quick flawless regeneration"". Each cell in your body is regenerated perfectly without any pesky side effects, aging included.</li>
<li>You cannot drown or suffocate. However, your body will need extra energy to work under water or in unbreathable gasses. </li>
<li>Extra objects inserted to your body (like bullets or daggers) will be absorbed by your body eventually. And yes, that's extra energy cost.</li>
<li>You cannot get fat. If you eat too much, your body temperature will increase to get rid of the excess energy.</li>
<li>The magician will check your progress in life after 250 years.</li>
</ul>

<p>As you can guess, the magician disappeared after telling my hero these basics.</p>

<p>My hero is a 30 year old male, who never had any type of operation which leaves something in the body (like hip replacement or a bone fracture, which needs screws to hold the bone together).</p>

<p>He tried to cut himself and it hurt as usual. The scar seems to be healing quicker than my hero is used to.</p>

<p>My hero still does not believe in magic. Also he does not trust this magician. However, if he is really immortal, he can make some really long term plans.</p>

<p>So, how to test if you are immortal? Yes, you can put a dagger to your heart ... but if the magician was lying (or immortality simply does not exist) that would be a really stupid test...</p>

<p>Edit: This is happening in current world, current time, in one of <strike>First-World</strike> <a href=""https://en.wikipedia.org/wiki/Second_World"" rel=""noreferrer"">Second-World</a> countries. Apparently, <a href=""https://en.wikipedia.org/wiki/Czech_Republic"" rel=""noreferrer"">Czech Republic</a> seems to be still on list of Second World countries...</p>
","How to safely check if you are immortal?",2,"<reality-check><immortality>"
12348,1,12374,"2015-03-20T11:41:54.583",48453,"<p>Let's say a time traveler from the year 2100 comes back to the year 2015.  He has a very important message: [horrible thing] is about to happen soon, and he wants to warn us so we can avoid/prevent it.  (Yes, this assumes a model in which ""paradoxical causality"" is not an issue.)  The problem is if he goes around saying ""I'm a time traveler from the future,"" no one's gonna believe him.  They'd dismiss him as a crackpot.</p>

<p>So, he brings along proof, in the form of...?</p>

<p>This is actually a pretty tricky question, if we place two restrictions on it:</p>

<ol>
<li><p>He does not have a ""time machine"".  His device sent him back without coming along with him, so he has no way to demonstrate that he's a time traveler by actually <em>demonstrating time travel</em>.  (Just as an aside, this is very much on purpose; he doesn't want knowledge of the mechanics of time travel to fall into the hands of people who might <a href=""http://tvtropes.org/pmwiki/pmwiki.php/Main/MakeWrongWhatOnceWentRight"">use it for nefarious purposes</a>, and part of his plan is to actively sabotage scientific research that led to the development of time travel.)  The thing he used--let's just call it a ""time catapult""--was able to send a small payload back in time, maybe comparable volume to <a href=""http://www.imdb.com/title/tt0096928/"">a phone booth</a>, certainly quite a bit less than <a href=""http://www.imdb.com/title/tt0088763/"">the interior of a car</a>.</p></li>
<li><p>He wants to get the issue of establishing proof of identity over with and out of the way as quickly as possible and move on to more important things, like averting future disasters.  This is a real issue; he can't go back arbitrarily far in time; the Temporal Frobulence Theorem shows that it becomes extremely unsafe the further back you go; it's a bit of a stretch even to reach our time!</p></li>
</ol>

<p>The two obvious candidates for proof are <strong>future technology</strong> and <strong>knowledge of future events</strong>. The first is tricky, because current technological advancement puts us perilously close to the boundaries of Clarke's 3rd Law: any sufficiently advanced technology is likely to not be easily recognizable as such, and anything <em>insufficiently advanced</em> would be likely to just look like someone working in his garage made a breakthrough in some field, and that's pretty cool and all, but obviously it doesn't prove he's from the future.</p>

<p>The second is also kind of tricky.  There are two major classes of unpredictable future events: natural and manmade.  Bringing official government records of earthquakes, hurricanes, etc. could certainly establish that he is who he says he is, but it would take a lot of valuable time for Mother Nature to furnish the proof.  On the other hand, if he predicts unpredictable manmade events, there are all sorts of potential troubles there.  Point out the time and place of a major crime?  Obviously, he was in on it; let's arrest him!  Produce a table of stock market closing values for the next month?  Well, he might be right for a day or two (coincidentally, of course!), but as soon as someone starts using the data he provides and attempting to profit by making trades based on it, the Butterfly Effect flutters in and destroys the accuracy of the data.</p>

<p>So, what would be the quickest, most efficient way for our unfortunate herald to establish beyond reasonable doubt that he is a time traveler with accurate knowledge of future events, and at the same time get enough people to listen to him so he can spread his doomsday message?</p>
","How do you prove you're from the future?",7,"<time-travel>"
