"Id","TotalComment","ViewCount"
2,1,1914
3,21,9949
5,21,2725
6,61,38793
9,21,23505
13,40,1879
18,29,6383
21,18,10415
27,8,1860
29,10,7492
40,44,7434
41,11,1150
45,6,488
50,4,14133
51,15,2475
53,8,595
54,10,3801
55,13,5476
57,3,2339
65,5,5101
74,26,9642
81,8,20019
84,3,963
86,24,2302
87,6,11969
96,8,5117
97,13,1333
113,22,11298
115,18,44125
118,11,9177
120,5,176
124,2,633
134,5,269
137,7,2428
139,15,1829
140,10,64528
142,1,189
144,5,9201
150,19,415
153,16,3624
155,3,1671
157,10,1334
158,9,718
165,8,1139
170,11,802
179,4,642
182,19,11462
183,5,3354
187,6,814
188,16,298
193,38,88057
200,9,12979
203,5,473
204,21,6123
213,2,414
214,1,126
216,7,1060
220,4,317
232,8,564
233,2,199
236,3,160
245,13,19035
248,5,1955
249,3,2900
262,9,5232
271,10,5173
272,6,222
277,6,1796
279,4,545
286,17,4934
290,7,340
292,9,481
293,32,4651
297,8,954
300,3,1916
308,7,300
312,8,2054
313,31,1803
320,5,1421
328,8,12271
329,6,156
334,11,3581
335,10,3306
344,5,2227
346,6,353
352,7,2150
354,9,86
365,3,375
366,4,31183
378,15,3332
379,9,1075
395,4,2031
400,38,44774
405,11,1031
409,9,821
416,7,796
418,5,1182
424,6,6357
425,8,1324
428,13,41673
429,9,18152
430,5,291
433,5,488
436,3,1326
450,7,3779
455,27,10221
456,15,1765
462,1,4289
468,7,1590
472,18,15891
473,2,1679
481,7,5633
483,2,5402
484,22,17081
485,2,1027
490,4,1047
492,7,24159
493,4,352
494,15,2682
504,21,8648
509,12,45561
512,5,291594
513,2,2220
521,6,1600
534,3,525
537,1,445
543,18,24872
547,2,1939
549,9,2552
556,8,347
573,4,1822
574,6,1613
576,12,5974
584,33,2368
586,9,16329
592,21,861
595,2,592
600,4,31855
601,4,1084
606,3,1916
613,4,399
615,10,6339
622,4,4558
633,12,1196
644,11,727
647,9,878
649,8,247
656,6,1345
657,4,24851
658,14,1302
661,16,78905
665,4,600
667,13,430
670,5,9092
671,16,500
673,3,2778
676,4,4823
685,22,1275
694,15,860
712,17,72784
715,22,37953
718,26,33512
720,13,5507
725,6,263
728,13,1292
735,8,1248
736,12,7818
740,8,1309
752,7,3557
756,2,289
760,21,6512
767,10,3197
771,3,464
774,7,1663
784,31,131374
792,24,7313
796,11,268
799,22,3298
805,6,1007
811,5,2985
812,6,176
820,8,721
830,14,2580
834,18,7497
840,7,2219
843,8,2134
848,7,754
849,7,309
853,7,3457
855,22,30753
868,5,6701
869,52,16292
872,24,127971
875,4,237
883,7,3315
886,2,305
894,14,895
895,4,10567
902,3,400
903,2,523
908,3,15352
910,6,7946
911,7,3872
912,12,620
913,7,27350
921,21,1360
927,1,908
933,12,22352
938,20,24797
942,14,2330
946,6,1032
953,2,5271
955,4,817
959,4,187
960,15,14578
962,1,173
968,8,16760
969,29,36881
978,8,746
980,11,669
988,5,1563
993,16,1535
997,5,578
999,10,51407
1001,4,882
1005,16,289433
1007,11,2034
1009,6,5491
1013,12,2091
1015,9,6176
1022,12,700
1026,22,1089
1027,1,5803
1035,7,2969
1041,6,301
1044,18,1046
1049,4,3899
1052,13,22685
1063,7,6633
1067,2,219
1070,8,7072
1076,3,553
1077,5,1096
1081,13,45494
1083,5,213
1085,16,7837
1086,8,661
1092,6,3234
1101,13,1955
1108,3,3081
1111,4,13513
1113,4,1391
1116,14,10830
1117,5,257
1118,15,48734
1124,5,1037
1125,10,8065
1130,9,2683
1131,9,1045
1132,5,505
1137,2,2508
1138,9,2964
1141,12,3456
1142,17,1307
1144,23,97506
1162,8,1686
1164,9,2709
1167,10,10877
1170,14,10102
1171,9,392
1180,9,3729
1184,4,155
1190,6,1157
1191,26,3157
1194,7,1641
1199,6,238
1200,11,919
1204,6,2186
1219,26,1296
1225,8,3749
1229,7,393
1232,9,444
1235,9,720
1240,14,826
1248,4,271
1249,2,883
1250,8,5634
1257,4,26764
1258,13,2081
1267,14,38869
1268,8,378
1271,6,183
1272,11,94827
1273,13,2271
1279,5,1782
1282,7,603
1288,1,3682
1292,11,580
1296,13,3559
1299,9,3769
1304,12,2666
1305,14,328
1309,11,19796
1322,10,13431
1323,11,314
1341,14,13205
1344,3,943
1347,27,10661
1353,2,398
1357,1,700
1359,13,456
1369,7,28825
1376,19,1198
1387,12,2158
1390,12,2633
1393,10,2001
1394,17,10439
1398,2,244
1400,9,522
1404,3,576
1407,7,28346
1408,7,623
1413,22,21127
1418,7,221
1426,11,6192
1436,9,33397
1438,5,408
1441,3,495
1443,6,187
1452,14,32405
1453,6,5002
1456,8,6436
1462,9,10889
1463,3,3907
1466,24,1206
1470,4,913
1471,32,130897
1478,2,158
1487,5,1135
1488,24,111301
1489,8,10781
1494,5,10907
1496,1,686
1502,5,264
1504,6,334
1507,7,1259
1509,10,23641
1515,7,37075
1525,12,299
1531,28,23862
1538,11,2041
1543,10,570
1546,3,4514
1547,10,2419
1551,3,4326
1558,31,2183
1559,2,261
1565,6,378
1571,3,792
1574,8,5006
1579,6,432
1587,26,88922
1591,11,10210
1592,2,139
1593,1,273
1595,7,111
1602,2,1078
1603,8,996
1606,4,2330
1615,10,990
1617,6,15140
1623,13,1594
1627,7,6367
1631,15,73314
1649,9,1170
1650,6,576
1660,10,22774
1662,11,55154
1664,15,16255
1666,6,446
1671,23,11004
1683,1,14279
1684,4,12737
1689,3,1044
1691,2,158
1696,15,940
1701,10,272
1707,4,2284
1710,18,5438
1711,7,1950
1716,9,9981
1717,6,2693
1721,3,1325
1726,7,3010
1727,3,272
1731,13,179350
1742,19,1866
1747,4,229
1750,9,1177
1752,9,4039
1753,15,81912
1757,7,662
1762,6,9092
1764,6,1769
1779,20,6486
1783,4,20486
1786,5,1077
1789,5,676
1797,4,3246
1799,5,409
1804,5,500
1807,5,674
1808,10,20578
1811,3,3103
1812,6,89
1813,25,15650
1814,3,4600
1815,6,623
1822,7,506
1823,14,519
1829,9,396
1833,9,4624
1834,1,181
1836,1,309
1840,7,309
1842,10,796
1848,26,791
1851,9,341
1852,11,1813
1856,13,354
1857,19,2236
1860,11,624
1862,5,27917
1868,3,470
1874,8,472
1876,17,3116
1878,12,3176
1892,9,329
1895,10,1446
1896,3,1063
1902,5,2110
1904,10,6166
1907,5,14509
1909,15,6105
1914,3,269
1920,1,658
1923,6,1006
1929,3,681
1931,5,2655
1934,12,839
1942,13,621
1943,3,321
1961,10,236
1963,12,45479
1965,3,1180
1968,3,731
1972,5,11179
1975,6,482
1976,10,82871
1977,7,2374
1984,20,7930
1988,10,540
1990,3,7812
1993,2,288
1997,2,1318
2001,7,812
2002,5,3744
2005,2,55439
2009,1,1149
2010,13,6784
2011,4,510
2014,3,1479
2015,6,6663
2017,23,53206
2021,8,7608
2022,2,376
2028,11,12640
2040,6,11700
2044,59,6007
2052,6,859
2055,4,288
2062,6,24752
2064,3,894
2067,2,9460
2069,6,2046
2077,11,331
2081,7,38654
2086,3,417
2090,5,141
2094,5,1632
2095,6,1179
2096,9,443
2110,18,124471
2113,2,1749
2120,2,583
2124,8,226
2127,13,7959
2130,3,137
2132,12,2104
2133,7,252
2135,3,20224
2136,2,288
2137,1,355
2141,3,916
2151,4,566
2154,7,10722
2155,2,800
2156,4,236
2161,7,523
2163,6,10683
2164,27,101860
2167,4,1009
2169,13,6156
2170,3,1355
2174,2,308
2176,5,261
2184,6,2725
2187,8,4499
2191,7,3166
2194,7,2435
2195,14,2179
2199,10,1788
2206,5,891
2215,7,2022
2216,5,3440
2221,3,1403
2223,5,2508
2232,9,25833
2242,4,234
2244,7,13796
