"Id","TotalComment","ViewCount"
1,15,6648
2,19,1732
4,22,8317
6,4,1905
11,22,1536
14,3,1922
16,19,1024
26,14,1950
30,14,3620
31,13,3267
32,11,653
36,2,796
56,9,1179
63,9,3222
74,5,1734
83,6,1223
85,6,1619
86,8,2236
87,7,1018
90,7,2309
99,12,3522
127,9,1908
130,20,6169
138,3,1242
139,5,319
141,10,3204
156,4,639
160,28,10826
161,6,5719
166,11,2287
170,15,370
177,23,2566
178,10,1862
191,1,1110
193,19,3851
201,11,622
204,2,851
210,18,3391
214,9,2213
215,9,4015
222,5,1543
223,12,2496
226,8,1060
235,24,1087
236,11,699
237,8,525
240,19,5197
249,19,1796
250,3,583
256,3,219
258,3,1356
259,5,869
264,7,496
269,41,4865
285,19,1716
287,13,1789
291,9,2075
297,15,513
301,12,9752
309,11,2495
323,3,1185
345,20,457
353,11,2657
355,6,1000
360,2,398
364,10,1797
366,11,1900
370,9,1457
375,6,8338
381,2,175
391,9,1421
397,13,2626
411,3,922
414,6,2019
422,4,1083
429,3,1110
432,5,1274
439,13,1893
443,21,4785
448,8,1271
458,6,510
459,5,1051
465,9,1464
468,6,1393
471,11,1237
474,3,307
479,11,1030
481,3,2949
486,10,554
491,2,924
494,2,805
495,8,445
499,17,835
500,30,2498
510,5,1859
511,11,681
515,12,670
526,7,1526
536,15,6827
538,2,2815
540,1,1009
544,9,4533
545,14,2331
548,5,727
556,9,1958
564,16,1426
569,5,228
571,9,1180
573,4,1345
577,26,9215
583,7,695
589,22,693
591,4,1027
596,9,1612
603,13,3032
604,5,5435
613,6,613
615,16,1076
619,5,1390
623,15,2942
626,12,895
627,8,2805
631,5,947
633,8,1244
634,17,6720
635,1,694
637,6,636
638,15,3298
641,3,1984
645,3,1848
646,6,246
662,5,436
663,127,20895
677,5,5381
680,8,780
683,14,4330
697,31,3491
703,34,3714
718,15,10306
735,14,2030
736,14,754
752,7,1823
762,9,1581
764,11,1290
766,23,6724
775,37,12145
789,9,1364
796,20,1857
807,26,5517
814,8,4057
816,6,593
820,33,9931
825,11,966
851,10,768
856,12,1919
863,12,3721
864,32,2090
869,21,11863
875,14,9898
901,22,4080
904,14,3196
905,12,3673
918,14,3461
923,7,689
924,18,230
930,10,1245
951,25,18346
959,19,5591
975,46,15845
986,22,8453
993,51,19466
994,9,2695
1023,16,1282
1030,15,1939
1048,18,2889
1052,14,990
1057,21,2185
1069,10,1471
1072,7,4251
1082,13,2059
1087,34,3969
1094,5,3507
1099,20,28428
1107,7,3026
1114,10,1354
1123,8,1191
1127,7,950
1131,33,3436
1139,25,12943
1148,27,13312
1156,18,16646
1163,24,23231
1183,14,5466
1186,9,1295
1187,8,1170
1193,7,2731
1199,11,3947
1207,6,2648
1216,34,2912
1219,7,1767
1244,9,920
1250,20,2462
1255,9,592
1257,16,1073
1261,7,3945
1272,41,16161
1290,2,578
1292,9,472
1299,4,1875
1302,2,843
1307,44,12616
1319,14,981
1325,20,1627
1326,13,4614
1333,7,778
1338,6,808
1350,6,1334
1354,21,3278
1363,11,1754
1366,18,2958
1370,9,485
1371,4,557
1389,3,1883
1399,54,5813
1419,4,929
1425,13,1889
1426,8,2006
1432,12,603
1435,18,889
1443,30,1230
1455,7,10967
1456,75,18071
1467,27,5656
1478,11,985
1480,21,2729
1489,30,7912
1502,25,5351
1521,21,4196
1535,9,5954
1536,9,5975
1539,72,18505
1543,5,3422
1556,64,35245
1567,5,2452
1573,20,6032
1585,89,29936
1586,29,8568
1623,8,621
1633,7,2096
1642,16,786
1656,3,640
1670,9,810
1671,40,5748
1676,14,1538
1689,4,312
1694,16,2565
1696,9,1669
1699,5,476
1700,6,1680
1701,4,1076
1713,23,1774
1720,18,1422
1722,18,4071
1730,6,2518
1737,53,25688
1752,8,1879
1773,8,2292
1775,19,4620
1780,24,18531
1782,10,979
1787,17,5488
1800,32,6914
1804,17,29386
1816,4,2356
1819,56,7150
1841,18,17997
1842,8,376
1850,4,259
1851,22,5681
1853,38,12832
1874,36,14105
1887,15,3174
1894,46,27143
1911,13,2521
1913,39,6783
1936,13,381
1943,3,1601
1948,73,9850
1952,14,4029
1959,49,17754
1960,45,14187
1964,34,7534
1980,6,1515
1981,14,1346
1986,18,1698
1992,6,234
2001,11,245
2002,14,7069
2006,11,3424
2033,57,25935
2047,22,5872
2061,44,8686
2092,13,1708
2115,42,16151
2137,16,1281
2150,35,2564
2151,19,1891
2169,6,2000
2172,40,9179
2183,18,9044
2204,9,7380
2211,18,3626
2217,36,6606
2223,57,18137
2232,29,11578
2235,48,7741
2276,5,527
2278,33,2749
2297,14,2297
2298,18,10229
2306,35,4288
2312,52,9891
2337,9,378
2340,27,14841
2342,35,9318
2344,14,3742
2353,10,4674
2355,13,3955
2358,39,3828
2361,58,22108
2374,14,1181
2378,7,1737
2380,9,1850
2382,25,10313
2405,26,8260
2426,15,2754
2435,72,14827
2456,13,1295
2459,6,563
2463,21,15950
2467,3,472
2472,12,839
2475,8,632
2488,8,1089
2494,27,905
2498,6,3395
2516,19,10896
2525,48,11138
2534,6,712
2536,19,1312
2539,39,8329
2541,21,4468
2542,15,1283
2547,9,244
2568,10,5212
2580,46,8342
2581,13,174
2587,20,9297
2615,9,6928
2626,13,3514
2629,7,664
2632,25,11422
2636,12,1717
2639,9,658
2642,30,3103
2651,19,2863
2686,16,1922
2687,21,6488
2699,34,47070
2714,26,6859
2719,48,14769
2720,39,5028
2737,25,11630
2750,49,16753
2751,81,11915
2761,41,6399
2768,5,432
2769,8,2508
2776,17,1805
2785,12,987
2802,50,12770
2817,8,352
2827,11,914
2849,3,313
2853,9,479
2868,45,6856
2874,12,1498
2883,54,22820
2884,24,5211
2886,13,880
2897,50,7356
2929,13,3516
2938,10,1038
2944,8,895
2949,19,3796
2951,25,16644
2954,22,3986
2958,15,2074
2970,34,12304
2977,9,1320
2991,22,10400
3002,16,1495
3016,7,460
3017,23,4432
3033,33,6052
3043,19,2601
3046,17,3400
3049,7,1112
3053,20,7513
3060,16,3611
3066,9,2247
3075,14,7583
3083,11,522
3086,7,3363
3087,8,2130
3092,12,1930
3093,3,1035
3095,54,2317
3097,35,23258
3103,15,587
3117,12,3462
3131,7,5666
3135,2,599
3141,33,6221
3142,6,4307
3144,12,1306
3148,2,1262
3150,11,246
3162,16,1874
3164,15,7181
3187,7,347
3189,5,477
3192,7,703
3204,11,1192
3213,65,23782
3214,8,602
3220,21,1265
3221,39,49569
3223,34,4048
3253,19,18483
3261,6,1014
3264,10,840
3265,13,841
3274,45,14091
3280,14,349
3294,36,11692
3297,19,1033
3319,10,1655
3322,19,7194
3327,15,9508
3333,23,2685
3344,16,564
3348,18,5991
3361,4,893
3362,12,492
3379,19,14539
3385,21,20824
3390,1,242
3418,13,1032
3419,5,1811
3428,21,990
3429,39,18146
3448,9,1888
3453,31,6950
3457,54,18380
3466,25,354
3475,22,8341
3489,17,5081
3497,32,671
3501,7,852
3506,6,2272
3512,31,2719
3534,18,4655
3539,14,1054
3547,33,15761
3550,5,610
3560,45,10139
3568,12,2180
3573,96,19391
3588,19,5350
3610,18,3766
3611,10,474
3622,4,1814
3636,26,3002
3639,16,2071
3645,13,1027
3654,21,3387
3658,26,44919
3667,27,8405
3680,11,1300
3681,18,1633
3682,73,16729
3689,3,1974
3692,10,792
3697,37,18630
3702,19,777
3728,6,1807
3736,7,1284
3744,29,3229
3750,19,807
3751,21,1220
3761,12,10850
3762,15,13978
3770,19,2186
3786,17,1883
3793,7,1591
3794,9,2637
3807,45,9934
3812,20,6866
3815,5,1482
3822,24,2752
3832,21,1863
3833,40,10473
3840,25,2010
3841,18,2613
3863,8,985
3869,11,2861
3874,34,35676
3884,3,1175
3887,18,757
3893,10,579
3899,14,3371
3905,8,919
3906,50,8798
3913,14,1983
3932,9,957
3933,13,5809
3938,28,5242
3944,40,14678
3952,31,12842
3981,27,26042
3994,16,5538
3996,18,4354
4003,7,653
4005,9,1243
4007,2,1147
4009,5,1724
4012,5,483
4015,19,6485
4043,7,1689
4045,42,5609
4056,4,267
4069,31,6325
4087,21,2300
4089,17,642
4092,50,7198
4100,31,11354
4108,10,1627
4120,14,7631
4128,19,12197
4131,26,1182
4133,14,609
4143,13,4378
4147,41,13510
4152,33,1259
4156,27,8704
4164,10,6307
4189,22,2030
4204,18,651
4211,22,6738
4212,8,1568
4216,47,5132
4225,51,11695
4233,13,1788
4238,91,22636
4260,11,1993
4269,35,6851
4275,19,40945
4276,9,5932
4277,32,12489
4294,4,349
4298,27,23555
4302,20,914
4306,24,1609
4315,2,387
4328,6,808
4334,33,3911
4346,11,1475
4350,74,25870
4365,29,3342
4372,4,2665
4378,12,1447
4381,4,474
4383,9,1333
4386,21,6489
4401,25,3834
4407,61,10749
4425,61,21095
4443,19,2098
4451,46,10815
4480,9,3096
4492,8,336
4498,20,2885
4504,20,3616
4521,18,1354
4536,15,1458
4540,15,1462
4545,9,693
4573,19,7689
4592,27,6692
4610,73,26418
4618,27,4288
4632,47,11916
4639,1,334
4661,16,6042
4664,4,1449
4669,8,2772
4670,59,11781
4672,43,1295
4687,12,883
4703,28,4846
4709,11,628
4716,5,651
4728,80,14087
4734,45,20039
4769,4,2398
4772,11,459
4773,11,2992
4776,53,2340
4792,4,448
4796,5,602
4797,14,992
4804,40,13892
4811,15,1250
4812,20,12221
4815,15,5679
4842,102,32228
4852,20,2166
4872,48,14326
4918,21,8986
4920,25,3453
4937,16,2756
4949,15,2327
4951,44,15474
4961,12,635
4972,67,30621
4991,13,485
4992,14,3792
4996,48,16555
5004,7,2090
5020,14,2120
5032,39,8673
5036,14,5790
5045,20,3631
5050,43,19248
5060,15,1899
5065,41,9175
5092,8,217
5101,8,4583
5103,9,582
5116,15,467
5117,45,16187
5141,17,2274
5143,30,4771
5149,21,4386
5164,17,1299
5171,24,23195
5174,53,16155
5199,8,1320
5203,68,23022
5216,10,2595
5220,28,12323
5222,50,7817
5236,33,12612
5247,46,13747
5269,20,605
5274,41,12452
5286,15,4908
5306,34,5193
5307,20,1766
5314,17,615
5315,29,6545
5326,53,13666
5346,8,293
5347,5,386
5352,17,2900
5362,25,5183
5367,25,3125
5382,10,455
5388,16,9882
5391,35,7743
5398,37,3705
5420,18,12649
5421,34,22117
5435,33,9858
5443,7,4155
5467,11,693
5481,39,3758
5488,15,3769
5492,14,1535
5502,79,30162
5504,34,8509
5505,5,327
5514,27,10825
5515,96,31387
5532,13,942
5536,11,1410
5543,30,19619
5546,4,326
5553,39,8945
5560,46,12087
5564,6,8943
5571,10,1952
5638,12,535
5639,7,3476
5661,10,1202
5668,4,442
5682,8,753
5683,41,30745
5692,1,316
5703,18,2014
5707,6,1094
5710,5,2117
5711,4,20744
5716,13,10839
5727,12,1389
5737,28,1020
5751,10,1373
5759,41,35559
5765,4,426
5773,28,3474
5781,30,1295
5798,17,4133
5804,40,14579
5826,17,9888
5831,8,441
5835,32,1733
5847,8,916
5850,15,2024
5860,45,19828
5873,27,11721
5884,5,2053
5891,5,521
5894,31,8518
5900,43,14432
5907,6,1892
5921,23,6146
5930,9,2555
5931,27,3144
5945,4,1548
5951,19,6817
5966,15,660
5967,14,14224
5971,9,1613
5977,28,1542
5978,8,821
5993,41,8837
5996,32,17336
6005,32,10515
6011,17,1375
6020,16,616
6030,27,6121
6036,22,17873
6046,21,26028
6054,13,449
6069,5,315
6080,35,46050
6092,4,321
6109,16,1531
6112,5,343
6113,20,15482
6127,27,2788
6132,9,1000
6136,7,4643
6147,2,655
6153,13,1766
6160,14,1451
6162,18,27358
6164,30,10748
6166,6,2052
6181,4,226
6191,10,472
6202,31,2973
6206,7,272
6208,4,682
6214,12,1584
6217,6,4121
6243,3,643
6245,6,6076
6254,11,2645
6260,15,3309
6261,5,595
6266,7,935
6272,6,152
6275,4,379
6276,17,2080
6277,9,535
6286,5,165
6287,17,2180
6298,16,1463
6311,16,516
6320,16,1921
6321,1,1042
6326,46,36766
6333,15,466
6341,18,5071
6356,13,1358
6363,5,1304
6371,19,788
6375,41,9968
6385,9,435
6389,13,11626
6392,16,653
6396,11,9008
6398,47,16910
6422,17,2254
6423,22,784
6432,2,407
6436,20,1200
6449,38,38126
6456,46,19453
6476,5,875
6481,30,8696
6487,30,1987
6488,8,410
6505,35,5679
6523,6,510
6533,44,18455
6541,7,497
6550,9,438
6560,38,12443
6565,54,12375
6574,9,684
6581,23,3076
6588,22,30867
6601,8,3249
6605,9,246
6627,14,4639
6630,12,4080
6654,25,4202
6658,13,713
6663,9,828
6680,6,3136
6692,7,398
6695,10,2673
6697,21,20253
6728,7,353
6732,8,833
6736,22,1108
6737,11,578
6753,25,13364
6754,12,556
6762,10,867
6764,20,8492
6782,13,1082
6784,17,14502
6788,15,3276
6790,15,2247
6800,5,3116
6804,5,1593
6810,14,2296
6812,7,1756
6814,40,18238
6817,22,9785
6826,6,5440
6827,59,9531
6831,9,1250
6844,12,9323
6863,6,1683
6880,17,15099
6882,16,9117
6898,37,6032
6916,17,8401
6928,15,4001
6930,6,1397
6936,6,285
6940,7,907
6941,6,868
6946,6,324
6953,12,1005
6979,32,2588
6982,16,2388
6984,12,1467
6985,9,550
6989,8,829
6999,18,8426
7010,25,9534
7030,18,18470
7034,6,1005
7037,15,15059
7044,24,4145
7052,30,13331
7064,23,8692
7074,17,1236
7078,11,917
7084,7,5420
7087,22,4037
7089,69,26690
7100,27,10386
7116,22,7154
7128,18,537
7130,27,6065
7131,15,800
7140,9,273
7141,6,769
7152,9,3731
7154,29,11096
7160,16,420
7173,6,125
7181,9,4846
7185,18,4151
7187,12,3274
7193,26,11632
7207,15,6054
7225,19,563
7227,5,1998
7240,3,1099
7245,12,1526
7246,10,323
7252,11,1444
7258,33,25452
7265,11,5997
7266,46,20632
7273,18,12376
7275,19,1766
7289,17,7391
7300,9,1138
7305,19,1213
7310,9,2013
7315,25,26726
7331,16,1082
7337,65,28026
7349,33,11486
7350,14,828
7371,26,2311
7379,13,3346
7384,14,769
7390,2,816
7400,12,1034
7413,24,5890
7432,18,9180
7439,30,4838
7440,10,4394
7441,13,936
7453,6,749
7467,7,666
7474,26,7764
7482,15,5389
7484,4,1926
7498,12,330
7507,8,298
7509,45,20819
7512,48,30742
7519,24,1855
7521,9,191
7525,16,2268
7531,3,1129
7532,8,427
7539,7,3278
7542,35,12224
7558,16,1410
7574,23,7403
7588,18,1384
7607,28,727
7620,8,811
7624,9,440
7633,12,942
7635,19,6724
7639,26,9669
7649,10,885
7652,33,23192
7661,34,10678
7670,19,1802
7673,15,4636
7677,12,2416
7689,7,526
7696,8,578
7698,17,11077
7699,11,870
7707,28,12939
7712,16,2909
7715,27,3059
7727,46,19904
7731,38,25699
7737,2,431
7744,17,577
7765,7,1968
7769,7,808
7773,11,595
7774,15,10242
7775,12,1416
7782,7,331
7808,10,509
7814,5,668
7823,13,3732
7824,3,675
7830,38,24741
7832,28,4790
7850,19,710
