"Id","TotalComment","ViewCount"
1,15,1340
2,19,5013
4,22,NA
6,4,NA
11,22,NA
14,3,NA
16,19,7093
26,14,NA
30,14,NA
31,13,NA
32,11,NA
36,2,NA
56,9,NA
63,9,NA
74,5,NA
83,6,NA
85,6,3263
86,8,NA
87,7,NA
90,7,NA
99,12,NA
127,9,1648
130,20,NA
138,3,NA
139,5,NA
141,10,NA
156,4,NA
160,28,NA
161,6,NA
166,11,969
170,15,NA
177,23,168
178,10,NA
191,1,NA
193,19,NA
201,11,NA
204,2,NA
210,18,NA
215,9,NA
222,5,1556
223,12,NA
226,8,NA
235,24,NA
236,11,NA
237,8,NA
240,19,NA
249,19,NA
250,3,NA
256,3,NA
258,3,NA
259,5,NA
264,7,406
269,41,1430
285,19,NA
287,13,NA
291,9,NA
297,15,NA
301,12,NA
323,3,NA
345,20,NA
353,11,NA
355,6,1568
360,2,NA
364,10,NA
366,11,NA
370,9,NA
375,6,NA
381,2,509
391,9,NA
411,3,NA
414,6,NA
422,4,512
429,3,NA
432,5,NA
439,13,NA
443,21,NA
448,8,NA
458,6,NA
459,5,NA
465,9,332
468,6,NA
471,11,NA
474,3,NA
481,3,NA
486,10,NA
491,2,2480
494,2,NA
495,8,5844
499,17,4821
500,30,NA
510,5,NA
511,11,446
515,12,NA
526,7,NA
536,15,NA
538,2,NA
540,1,NA
544,9,NA
545,14,NA
548,5,NA
556,9,NA
564,16,NA
569,5,7846
571,9,1024
577,26,2863
583,7,1957
589,22,NA
596,9,NA
603,13,NA
604,5,NA
613,6,NA
615,16,NA
619,5,NA
623,15,NA
626,12,NA
627,8,NA
631,5,NA
633,8,NA
634,17,NA
635,1,NA
637,6,2679
638,15,NA
641,3,NA
645,3,NA
646,6,NA
662,5,NA
663,127,NA
677,5,NA
680,8,NA
683,14,8225
697,31,NA
703,34,NA
718,15,NA
735,14,NA
736,14,NA
752,7,NA
762,9,NA
764,11,NA
766,23,NA
775,37,NA
789,9,NA
796,20,NA
807,26,NA
814,8,NA
816,6,NA
820,33,NA
825,11,NA
851,10,NA
856,12,NA
863,12,NA
864,32,NA
