str;data;rozmiar
pm.meta.stackexchange.com.7z;02-Dec-2018 18:07;996.8K
networkengineering.meta.stackexchange.com.7z;02-Dec-2018 17:58;995.4K
workplace.stackexchange.com.7z;03-Dec-2018 05:35;99.5M
stackoverflow.com-Votes.7z;03-Dec-2018 04:58;963.7M
lifehacks.meta.stackexchange.com.7z;02-Dec-2018 17:05;963.1K
academia.stackexchange.com.7z;02-Dec-2018 15:46;96.1M
sports.meta.stackexchange.com.7z;02-Dec-2018 18:42;910.4K
travel.stackexchange.com.7z;03-Dec-2018 05:22;91.5M
engineering.meta.stackexchange.com.7z;02-Dec-2018 16:28;904.7K
russian.stackexchange.com.7z;02-Dec-2018 18:23;9.8M
stackapps.com.7z;02-Dec-2018 18:42;9.7M
meta.pt.stackoverflow.com.7z;02-Dec-2018 17:49;9.6M
expatriates.stackexchange.com.7z;02-Dec-2018 16:43;9.2M
rpg.meta.stackexchange.com.7z;02-Dec-2018 18:16;9.1M
tex.meta.stackexchange.com.7z;03-Dec-2018 05:13;9.0M
economics.meta.stackexchange.com.7z;02-Dec-2018 16:18;877.4K
android.stackexchange.com.7z;02-Dec-2018 15:47;87.7M
linguistics.meta.stackexchange.com.7z;02-Dec-2018 17:05;868.4K
gardening.meta.stackexchange.com.7z;02-Dec-2018 16:49;865.9K
law.meta.stackexchange.com.7z;02-Dec-2018 17:04;864.8K
diy.stackexchange.com.7z;02-Dec-2018 16:16;86.6M
ux.stackexchange.com.7z;03-Dec-2018 05:29;86.2M
conlang.stackexchange.com.7z;02-Dec-2018 16:10;845.8K
stackexchange_meta.sqlite;03-Dec-2018 08:59;829.0K
hardwarerecs.meta.stackexchange.com.7z;02-Dec-2018 16:55;823.5K
meta.serverfault.com.7z;02-Dec-2018 17:50;8.9M
elementaryos.stackexchange.com.7z;02-Dec-2018 16:24;8.7M
tor.stackexchange.com.7z;03-Dec-2018 05:21;8.6M
ai.stackexchange.com.7z;02-Dec-2018 15:46;8.5M
lifehacks.stackexchange.com.7z;02-Dec-2018 17:05;8.5M
opendata.stackexchange.com.7z;02-Dec-2018 17:58;8.4M
codereview.meta.stackexchange.com.7z;02-Dec-2018 16:05;8.3M
patents.stackexchange.com.7z;02-Dec-2018 17:59;8.3M
